Filing Name,Extracted Arguments from ToC,Conclusion,URL,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_34491,"I. THIS CASE DOES NOT INVOLVE A FEDERAL CONSTITUTIONAL
OR STATUTORY RIGHT AND NONE WAS RAISED IN THE COURTS
BELOW
II. ACT 77 COMPLIES WITH THE PENNSYLVANIA CONSTITUTION","CONCLUSION 
For these reasons, the application should be denied. 
Respectfully submitted, 
 
 
/s/ Jay Costa, Jr. 
 
Jay Costa, Jr., Esq. (PA ID # 56677) 
Democratic Caucus 
Senate of Pennsylvania 
Room 535 Main Capitol Building 
Harrisburg, PA 17120 
(717) 787-3736 
(7",http://www.supremecourt.gov/DocketPDF/20/20A98/162962/20201208084935306_20A98acDemocraticCaucusOfPennsylvaniaSenate.pdf,True,Deny,3.0,aae2155
scotus_filing_34498,"I. The Supremacy Clause Forbids Laches from Barring the Constitutional
II. The United States Constitution and a Federal Statute Established a
Fixed Day for Presidential Elections ","CONCLUSION 
 
The Pennsylvania Supreme Court violated the Supremacy Clause when it 
elevated a state-law time bar over the Constitution of the United States. It also 
refused to acknowledge that the Constitution itself and a federal statute dictate the 
date on which the Presidential election must occur. Consequently, in addition to the 
reasons raised by the Applicants themselves, the judgment of the Pennsylvania 
Supreme Court is due to be reversed.  
 
Respectfully submitted December 8, 2020, 
 
/s/ Matthew J. Clark 
MATTHEW J. CLARK* 
  *Counsel of Record 
ROY. S. MOORE 
JOHN A. EIDSMOE 
TALMADGE BUTTS 
CONSTITUTIONAL ATTORNEYS 
P.O. Box 179 
Montgomery, Alabama 36101 
256-510-1828 
 
 
 
 
 
 
 
 
constitutionalattorneys@gmail.com 
  
                                                                                                                                                                                           
Amici simply observe that the COVID-19 pandemic does not justify an unconstitutional statute, 
especially since it was passed in 2019 before the pandemic hit the United States.",http://www.supremecourt.gov/DocketPDF/20/20A98/163088/20201208152905478_Motion%20to%20Submit%20Amicus%20Brief%20in%20Support%20of%20Application%20for%20Injunction.pdf,True,Reverse,2.0,aae2155
scotus_filing_34621,"A. The Free Exercise Clause was neither intended nor originally understood to require exemptions from laws that protect the health and safety of the public
1. The intent and writings of the Founders
2. Early state constitutions and court decisions
B. The Free Exercise Clause does not mandate a religious exemption from California’s restrictions on gatherings","CONCLUSION 
The Court should stay true to the original intent and understanding of the 
precious right of religious free exercise—and to the Court’s long-standing, consistent 
precedents—by denying the application.",http://www.supremecourt.gov/DocketPDF/20/20A136/167353/20210127092945586_AU%20et%20al%20amicus%20motion%20with%20brief%20--%20S%20Bay%20v%20Newsom%20--%20final%20PDFA.pdf,True,Deny,3.0,aae2155
scotus_filing_34639,"I. California’s ban on indoor worship cannot withstand strict scrutiny under Diocese of Brooklyn.
A. California’s worship ban is “far more restrictive” than the numerical caps enjoined in Diocese of Brooklyn.
B. California’s worship ban is “much tighter” than the measures used by any other state.
C. California’s ban is “far more severe” than required to prevent the spread of COVID-19 at Applicants’ indoor worship services.
D. California also cannot meet its burden on strict scrutiny because it withheld key facts from the lower courts.
II. Injunctive relief is warranted.
A. Where less restrictive means are available, the balance of harms tips towards Applicants.
B. The Court has broad discretion to fashion an equitable remedy that enjoins the ban on indoor worship while allowing percentage-of-occupancy limits like those California now employs in four counties.","CONCLUSION 
This Court should enjoin California’s ban on indoor worship. 
 
 
13  See State of California, Blueprint for a Safer Economy (updated January 28, 2021 at 5:03 PM), 
https://perma.cc/DTL6-H79S.",http://www.supremecourt.gov/DocketPDF/20/20A137/167605/20210129104153527_South%20Bay%20and%20Harvest%20Rock%20Amicus%20FINAL.pdf,True,Other,3.0,aae2155
scotus_filing_34678,I. The Court’s emergency docket is well-suited to vindicate core constitutional and civil rights like those at issue in the Application.,"CONCLUSION 
This Court should issue the requested injunction. 
Respectfully submitted. 
 /s/ E",http://www.supremecourt.gov/DocketPDF/20/20A151/175204/20210407175033782_Tandon%20v%20Newsom%20Amicus%20Brief%20by%20The%20Becket%20Fund.pdf,True,Grant,1.0,aae2155
scotus_filing_34726,"I.  APPLICANT HAS NOT SHOWN THAT CERTIORARI IS LIKELY TO BE GRANTED, OR A FAIR PROSPECT OF REVERSAL, IN THIS CASE. 
II.  APPLICANT DOES NOT FACE IRREPARABLE HARM, AS THE NATION’S EFFORTS TO PROTECT THE PUBLIC SHOW.","CONCLUSION 
The State’s application for a stay should be denied. 
Respectfully submitted, 
 
 
 
FRANK S. HOLLEMAN, IV* 
DOUGLAS B. L. ENDRESON 
SONOSKY, CHAMBERS, SACHSE,  
   ENDRESON & PERRY, LLP 
1425 K Street, NW, Suite 600 
Washington, DC 20005 
Phone: (202) 682-0240 
fholleman@sonosky.com  
dendreson@sonosky.com 
 
SARA HILL",http://www.supremecourt.gov/DocketPDF/20/20A167/180508/20210528135819466_2021-05-28%20-%20Motion%20for%20Leave%20to%20File%20and%20AmC%20Brief%20of%20Cherokee%20Nation%20-%20FINAL.pdf,True,Deny,2.0,aae2155
scotus_filing_34735,"I. States Have Relied On The CDC Order When Crafting Their Own Responses To COVID-19
II. Sudden Vacatur Of The CDC Order Threatens Irreparable Harm To The States","CONCLUSION 
This Court should deny the emergency application to vacate the district court’s 
stay.",http://www.supremecourt.gov/DocketPDF/20/20A169/181359/20210610165940894_20A169%20Amicus%20Mot.pdf,True,Deny,2.0,aae2155
scotus_filing_34740,"I. Mass Evictions Are Likely Nationwide Without the CDC Order
A. The COVID-19 Pandemic Significantly Increased Housing Insecurity
B. Without Legal Protections from Eviction, Filing Rates Increase
II. Eviction Moratoriums Slow the Spread of COVID-19 and Prevent Negative Short- and Long-Term Health Outcomes
A. Evictions Spread COVID-19, Thwarting Efforts to Contain the Virus
B. Eviction Increases the Rate of COVID-19 Among High-Risk Populations, Leading to Long-Term Complications or Death 
C. Studies Suggest Eviction Moratoriums Prevent COVID-19 Deaths
D. Evictions Are Concentrated in Neighborhoods with the Lowest 
Vaccination Rates And Slowest Economic Recoveries
III. Eviction and COVID-19 Disproportionately Harm Marginalized Groups
A. Evictions Disparately Affect Groups Based on Race, Gender, and Sexual Orientation
B. COVID-19 Has Killed Black, Indigenous, and Latinx People at Higher Rates","CONCLUSION 
The Applicants’ request to overturn the District Court’s stay should be denied. 
 
 
 
106 Emily A. Benfer, Seema Mohapatra, Lindsay F. Wiley & Ruqaiijah Yearby, Health Justice Strate-
gies to Combat the Pandemic: Eliminating Discrimination, Poverty, and Health Inequity During and 
After COVID-19, 19 YALE J. HEALTH POL’Y L. & ETHICS 122 (2020), https://bit.ly/2GzVW9c. 
107 See, e.g., Racial Data Dashboard, COVID TRACKING PROJECT, https://bit.ly/2QvDF1t (showing dis-
proportionately higher rates of infection and death for non-whites relative to percentage of popula-
tion by state). 
108 Benfer et al., supra note 35 at nn.82–96.",http://www.supremecourt.gov/DocketPDF/20/20A169/182678/20210628112000610_Alabama%20Realtors%20v.%20HHS%2020A169%20motion%20and%20brief%20of%20amici%20curiae%20AAP%20et%20al.pdf,True,Deny,5.0,aae2155
scotus_filing_34778,"I. There is no split among the courts of appeals 
A. All circuits treat certification decisions as case-specific exercises of discretion
B. Petitioners’ asserted circuit splits do not withstand scrutiny
C. Even if there were some variation in the circuits’ discretionary certification practices, that would not establish a split warranting this Court’s review
II. This unusual case would be a poor vehicle for considering the question presented
III. The Sixth Circuit did not abuse its discretion
A. The circumstances of this case amply justified the Sixth Circuit’s decision not to certify
B. The Sixth Circuit’s case-specific decision neither undermines Tennessee’s sovereign interests nor encourages forum shopping
C. Jackson National’s proposed certification rules lack merit
IV. The Court should reject Jackson National’s alternative request to hold this case pending the Tennessee Supreme Court’s decision in McClay","CONCLUSION 
For the foregoing reasons, the petitions for writs 
of certiorari should be denied. 
Respectfully submitted,  
 
Molly A. Glover 
   Counsel of Record 
Charles S. Higgins 
William D. Irvine, Jr. 
BURCH, PORTER & JOHNSON,  
   PLLC 
130 North Court Avenue 
Memphis, TN 38103 
(901) 524-5000 
mglover@bpjlaw.com 
November 1, 2019",http://www.supremecourt.gov/DocketPDF/19/19-4/121068/20191101131827181_19-4%20and%2019-13%20Lindenberg%20BIO.pdf,True,Deny,4.0,aae2155
scotus_filing_35764,"A. The Applicable Statutes Provide That Rape May Be Prosecuted at Any Time
B. CAAF Overruled Congress by Declaring Article 120 Unconstitutional
C. CAAF Ruled Upon A Constitutional Issue That Was Not Presented
D. No Article III Court Has Ever Held Article 120’s Death Sentence Unconstitutional
E. CAAF and Other Military Tribunals Cannot Exercise the Judicial Power to Declare Laws Unconstitutional
F. The Supreme Court Has Never Upheld Any Decision By CAAF that Declared a Law Unconstitutional
G. Military Tribunals at All Levels Routinely Declare Laws Unconstitutional","CONCLUSION
Because CAAF had no power to judge the
constitutionality of Article 120’s death sentence, this
Court should hold that CAAF erred when it held that
the statute of limitations for rape is five years.
Respectfully submitted,
JONATHAN D. HERBST
MARGOLIS EDELSTEIN
The Curtis Center
170 S Independence Mall W
Suite 400E
Philadelphia, PA 19106
PETER COOTE
   Counsel of Record
PENNONI ASSOCIATES INC.
1900 Market Street
Third Floor
Philadelphia, PA 19103
(215) 254-7857
pcoote@pennoni.com
Counsel",http://www.supremecourt.gov/DocketPDF/19/19-108/128425/20200113161906551_19-108%2019-184%20Amici%20Brief.pdf,True,Other,4.0,aae2155
