Filing Name,Extracted Table of Contents,Extracted Arguments from ToC,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_34491,"TABLE OF CONTENTS 
 
MOTION FOR LEAVE TO FILE AMICUS BRIEF AND FOR  
PERMISSION TO FILE BRIEF UNDER RULE 33.2 ............................................ ii 
 
TABLE OF AUTHORITIES ..................................................................................... v 
INTRODUCTORY STATEMENT ........................................................................... 1 
INTEREST OF AMICI CURIAE .............................................................................. 1 
SUMMARY OF ARGUMENT ................................................................................. 3 
ARGUMENT 
I. 
THIS CASE DOES NOT INVOLVE A FEDERAL CONSTITUTIONAL 
OR STATUTORY RIGHT AND NONE WAS RAISED IN THE COURTS 
BELOW ........................................................................................................... 3 
II. 
ACT 77 COMPLIES WITH THE PENNSYLVANIA CONSTITUTION ..... 5 
CONCLUSION .......................................................................................................... 9 
 
 
 
ii 
No. 20A98 
_______________________________________________________ 
 
In the  
Supreme Court of the United States 
_______________________________________________________ 
 
MIKE KELLY, U.S. Congressman; SEAN PARNELL; THOMAS A. FRANK; NANCY 
KIERZEK; DEREK MAGEE; ROBIN SAUTER; MICHAEL KINCAID; and WANDA 
LOGAN, 
Applicants, 
v. 
COMMONWEALTH OF PENNSYLVANIA; PENNSYLVANIA GENERAL ASSEMBLY; 
THOMAS W. WOLF, in his official capacity as Governor of the Commonwealth of 
Pennsylvania; and KATHY BOOCKVAR, in her official capacity as Secretary of the 
Commonwealth of Pennsylvania, 
Respondents. 
_______________________________________________________ 
 
MOTION FOR LEAVE TO FILE AMICUS BRIEF AND FOR 
PERMISSION TO FILE BRIEF UNDER RULE 33.2 
_______________________________________________________ 
 
 To the Honorable Samuel A. Alito, Jr., Associate Justice of the Supreme  
Court of the United States and Circuit Justice for the Third Circuit 
_______________________________________________________ 
 
 
Movants Senator Jay Costa and Senator Lisa M. Boscola, members of the 
Pennsylvania Senate Democratic Caucus, respectfully seek leave to file the 
accompanying brief as amici curiae in opposition to the emergency Application for 
Writ of Injunction Pending the filing and Disposition of a Petition for a Writ of 
Certiorari filed in the above-captioned matter. 
 
Amici curiae Senators Jay Costa and Senator Lisa M. Boscola submit this 
motion and accompanying brief.  Senators Costa and Boscola submit that members 
iii 
of the General Assembly voted in support of and in opposition to the legislation 
that was ultimately enacted as Act 77.1  Senators Costa and Boscola seek to present 
herein and in the accompanying brief a unique perspective concerning the actions 
of the General Assembly in the enactment of Act 77 and the requirement that the 
enactment be granted the customary broad presumption of constitutionality 
concerning both the procedures used in its enactment as well as the 
constitutionality of the act itself.   Pursuant to its broad grant of plenary legislative 
authority under the Pennsylvania Constitution, the General Assembly acted in 
compliance with state constitutional provisions concerning the enactment of Act 77 
that included, inter alia, expanded voting opportunities through the use of “mail-in 
ballots.” 
 
Amici curiae also requests permission to file its proposed brief on 8 ½ inch 
by 11 inch paper pursuant to Rule 33.2.  Applicants’ emergency petition seeks the 
Court’s immediate intervention and time does not allow for the printing of booklets 
under rule 33.1.  Accordingly, amici respectfully move this Court to accept the 
filing of its amicus brief using the format specified in Rule 33.2. 
 
1 The legislation that was eventually enacted as Act 77 of 2019 was introduced as Senate 
Bill 421 in the 2019-2020 legislative session by Sen. Lisa Boscola.  The legislation, amended in 
the House of Representatives to include Mail-In Ballots was approved by bipartisan votes of 138 
to 61 in the House and 35 to 14 in the Senate.  The Governor signed the bill into law as Act 77 
on October 31, 2019.  See Pa. Act of Oct. 31, 2019, No. 77, P.L. 552, Cl. 25, S.B. 421. 
 
iv 
 
For these reasons, amici curiae respectfully request the Court’s leave to file 
the attached amicus curiae brief containing 1,562 words, and for leave to file the 
brief pursuant to Rule 33.2. 
 
Respectfully submitted, 
 
 
/s/ Jay Costa, Jr. 
 
Jay Costa, Jr., Esq. (PA ID # 56677) 
Democratic Caucus 
Senate of Pennsylvania 
Room 535 Main Capitol Building 
Harrisburg, PA 17120 
(717) 787-3736 
(717) 783-5198 (fax) 
Jay.Costa@pasenate.com 
 
Counsel for Amici Curiae 
 
Dated:  December 8, 2020 
 
 
 
 
 
 
 
 
 
 
 
 
v 
",,http://www.supremecourt.gov/DocketPDF/20/20A98/162962/20201208084935306_20A98acDemocraticCaucusOfPennsylvaniaSenate.pdf,"CONCLUSION 
For these reasons, the application should be denied. 
Respectfully submitted, 
 
 
/s/ Jay Costa, Jr. 
 
Jay Costa, Jr., Esq. (PA ID # 56677) 
Democratic Caucus 
Senate of Pennsylvania 
Room 535 Main Capitol Building 
Harrisburg, PA 17120 
(717) 787-3736 
(7",,,,aae2155
scotus_filing_34498,"TABLE OF CONTENTS 
 
 
TABLE OF AUTHORITIES .......................................................................................... ii 
 
IDENTITY AND INTEREST OF AMICI CURIAE ...................................................... 1 
 
SUMMARY OF THE ARGUMENT .............................................................................. 2 
 
ARGUMENT .................................................................................................................. 3 
 
I. 
The Supremacy Clause Forbids Laches from Barring the Constitutional 
Claim in This Case ................................................................................................ 3 
 
II. 
The United States Constitution and a Federal Statute Established a 
Fixed Day for Presidential Elections .................................................................... 5 
 
CONCLUSION ............................................................................................................... 8 
 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/20/20A98/163088/20201208152905478_Motion%20to%20Submit%20Amicus%20Brief%20in%20Support%20of%20Application%20for%20Injunction.pdf,"CONCLUSION 
 
The Pennsylvania Supreme Court violated the Supremacy Clause when it 
elevated a state-law time bar over the Constitution of the United States. It also 
refused to acknowledge that the Constitution itself and a federal statute dictate the 
date on which the Presidential election must occur. Consequently, in addition to the 
reasons raised by the Applicants themselves, the judgment of the Pennsylvania 
Supreme Court is due to be reversed.  
 
Respectfully submitted December 8, 2020, 
 
/s/ Matthew J. Clark 
MATTHEW J. CLARK* 
  *Counsel of Record 
ROY. S. MOORE 
JOHN A. EIDSMOE 
TALMADGE BUTTS 
CONSTITUTIONAL ATTORNEYS 
P.O. Box 179 
Montgomery, Alabama 36101 
256-510-1828 
 
 
 
 
 
 
 
 
constitutionalattorneys@gmail.com 
  
                                                                                                                                                                                           
Amici simply observe that the COVID-19 pandemic does not justify an unconstitutional statute, 
especially since it was passed in 2019 before the pandemic hit the United States.",,,,aae2155
scotus_filing_34621,"TABLE OF CONTENTS 
 
Page 
TABLE OF AUTHORITIES .......................................................................................... ii 
INTERESTS OF THE AMICI CURIAE ........................................................................ 1 
INTRODUCTION AND SUMMARY OF ARGUMENT ............................................... 3 
ARGUMENT .................................................................................................................. 4 
A. The Free Exercise Clause was neither intended nor originally understood     
to require exemptions from laws that protect the health and safety of the 
public ................................................................................................................... 4 
1. The intent and writings of the Founders ...................................................... 4 
2. Early state constitutions and court decisions ............................................... 8 
B. The Free Exercise Clause does not mandate a religious exemption from 
California’s restrictions on gatherings ............................................................. 10 
CONCLUSION ............................................................................................................. 15 
 
 
 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/20/20A136/167353/20210127092945586_AU%20et%20al%20amicus%20motion%20with%20brief%20--%20S%20Bay%20v%20Newsom%20--%20final%20PDFA.pdf,"CONCLUSION 
The Court should stay true to the original intent and understanding of the 
precious right of religious free exercise—and to the Court’s long-standing, consistent 
precedents—by denying the application.",,,,aae2155
scotus_filing_34639,"TABLE OF CONTENTS 
 
Page 
TABLE OF AUTHORITIES ......................................................................................... iii 
INTEREST OF THE AMICUS CURIAE ...................................................................... 1 
SUMMARY OF ARGUMENT ....................................................................................... 2 
ARGUMENT .................................................................................................................. 3 
I. California’s ban on indoor worship cannot withstand strict scrutiny  
under Diocese of Brooklyn. ....................................................................................... 3 
A. California’s worship ban is “far more restrictive” than the  
numerical caps enjoined in Diocese of Brooklyn. ............................................... 4 
B. California’s worship ban is “much tighter” than the  
measures used by any other state. ..................................................................... 5 
C. California’s ban is “far more severe” than required to  
prevent the spread of COVID-19 at Applicants’ indoor  
worship services. ................................................................................................. 9 
D. California also cannot meet its burden on strict scrutiny  
because it withheld key facts from the lower courts. ...................................... 11 
II. Injunctive relief is warranted. ............................................................................... 13 
A. Where less restrictive means are available, the balance of  
harms tips towards Applicants. ........................................................................ 13 
B. The Court has broad discretion to fashion an equitable  
remedy that enjoins the ban on indoor worship while  
allowing percentage-of-occupancy limits like those California  
now employs in four counties. .......................................................................... 14 
CONCLUSION ............................................................................................................. 16 
APPENDIX 
 
 
 
 
 
iii 
 
",,http://www.supremecourt.gov/DocketPDF/20/20A137/167605/20210129104153527_South%20Bay%20and%20Harvest%20Rock%20Amicus%20FINAL.pdf,"CONCLUSION 
This Court should enjoin California’s ban on indoor worship. 
 
 
13  See State of California, Blueprint for a Safer Economy (updated January 28, 2021 at 5:03 PM), 
https://perma.cc/DTL6-H79S.",,,,aae2155
scotus_filing_34678,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ......................................................................................... iii 
INTEREST OF THE AMICUS CURIAE ...................................................................... 1 
SUMMARY OF ARGUMENT ....................................................................................... 2 
ARGUMENT .................................................................................................................. 4 
I. 
The Court’s emergency docket is well-suited to vindicate core  
constitutional and civil rights like those at issue in the Application. ............ 4 
CONCLUSION ............................................................................................................. 13 
 
 
iii 
",,http://www.supremecourt.gov/DocketPDF/20/20A151/175204/20210407175033782_Tandon%20v%20Newsom%20Amicus%20Brief%20by%20The%20Becket%20Fund.pdf,"CONCLUSION 
This Court should issue the requested injunction. 
Respectfully submitted. 
 /s/ E",,,,aae2155
scotus_filing_34726,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ...................................................................................... ii 
CHEROKEE NATION’S MOTION FOR LEAVE TO FILE AMICUS 
CURIAE BRIEF ........................................................................................................... 1 
BRIEF OF AMICUS CURIAE CHEROKEE NATION ........................................... 3 
BACKGROUND ........................................................................................................... 4 
REASONS FOR DENYING THE APPLICATION ................................................. 6 
I. 
APPLICANT HAS NOT SHOWN THAT CERTIORARI IS 
LIKELY TO BE GRANTED, OR A FAIR PROSPECT OF 
REVERSAL, IN THIS CASE. ............................................................................. 7 
II. 
APPLICANT DOES NOT FACE IRREPARABLE HARM, AS 
THE NATION’S EFFORTS TO PROTECT THE PUBLIC SHOW.
 ............................................................................................................................. 9 
CONCLUSION ........................................................................................................... 13 
 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20A167/180508/20210528135819466_2021-05-28%20-%20Motion%20for%20Leave%20to%20File%20and%20AmC%20Brief%20of%20Cherokee%20Nation%20-%20FINAL.pdf,"CONCLUSION 
The State’s application for a stay should be denied. 
Respectfully submitted, 
 
 
 
FRANK S. HOLLEMAN, IV* 
DOUGLAS B. L. ENDRESON 
SONOSKY, CHAMBERS, SACHSE,  
   ENDRESON & PERRY, LLP 
1425 K Street, NW, Suite 600 
Washington, DC 20005 
Phone: (202) 682-0240 
fholleman@sonosky.com  
dendreson@sonosky.com 
 
SARA HILL",,,,aae2155
scotus_filing_34735,"TABLE OF CONTENTS 
INTRODUCTION AND INTEREST OF AMICI CURIAE ........................................... 1 
ARGUMENT .................................................................................................................. 4 
I. 
States Have Relied On The CDC Order When Crafting Their Own 
Responses To COVID-19 .......................................................................... 4 
II. 
Sudden Vacatur Of The CDC Order Threatens Irreparable Harm 
To The States ............................................................................................ 8 
CONCLUSION ............................................................................................................. 16 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20A169/181359/20210610165940894_20A169%20Amicus%20Mot.pdf,"CONCLUSION 
This Court should deny the emergency application to vacate the district court’s 
stay.",,,,aae2155
scotus_filing_34740,"TABLE OF CONTENTS 
INTRODUCTION AND INTEREST OF AMICI CURIAE ..................................... 1 
ARGUMENT .................................................................................................................. 2 
I. 
Mass Evictions Are Likely Nationwide Without the CDC Order ................ 2 
A. The COVID-19 Pandemic Significantly Increased Housing Insecurity ..... 2 
B. Without Legal Protections from Eviction, Filing Rates Increase ............... 3 
II. 
Eviction Moratoriums Slow the Spread of COVID-19 and Prevent 
Negative Short- and Long-Term Health Outcomes .................................... 6 
A. Evictions Spread COVID-19, Thwarting Efforts to Contain the Virus ...... 6 
B. Eviction Increases the Rate of COVID-19 Among High-Risk Populations, 
Leading to Long-Term Complications or Death ........................................ 10 
C. Studies Suggest Eviction Moratoriums Prevent COVID-19 Deaths ........ 14 
D. Evictions Are Concentrated in Neighborhoods with the Lowest 
Vaccination Rates And Slowest Economic Recoveries .............................. 16 
III. 
Eviction and COVID-19 Disproportionately Harm Marginalized Groups 19 
A. Evictions Disparately Affect Groups Based on Race, Gender, and Sexual 
Orientation .................................................................................................. 19 
B. COVID-19 Has Killed Black, Indigenous, and Latinx People at Higher 
Rates ............................................................................................................ 21 
CONCLUSION ............................................................................................................ 22 
 
 
 
 
vii 
",,http://www.supremecourt.gov/DocketPDF/20/20A169/182678/20210628112000610_Alabama%20Realtors%20v.%20HHS%2020A169%20motion%20and%20brief%20of%20amici%20curiae%20AAP%20et%20al.pdf,"CONCLUSION 
The Applicants’ request to overturn the District Court’s stay should be denied. 
 
 
 
106 Emily A. Benfer, Seema Mohapatra, Lindsay F. Wiley & Ruqaiijah Yearby, Health Justice Strate-
gies to Combat the Pandemic: Eliminating Discrimination, Poverty, and Health Inequity During and 
After COVID-19, 19 YALE J. HEALTH POL’Y L. & ETHICS 122 (2020), https://bit.ly/2GzVW9c. 
107 See, e.g., Racial Data Dashboard, COVID TRACKING PROJECT, https://bit.ly/2QvDF1t (showing dis-
proportionately higher rates of infection and death for non-whites relative to percentage of popula-
tion by state). 
108 Benfer et al., supra note 35 at nn.82–96.",,,,aae2155
scotus_filing_34778,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... iv 
STATEMENT OF THE CASE ..................................... 1 
REASONS FOR DENYING THE WRIT ..................... 7 
I. 
There is no split among the courts of appeals ..... 9 
A. All circuits treat certification decisions as 
case-specific exercises of discretion ................ 9 
B. Petitioners’ asserted circuit splits do not 
withstand scrutiny ........................................ 10 
C. Even if there were some variation in the 
circuits’ discretionary certification practices, 
that would not establish a split warranting 
this Court’s review.......................................... 15 
II. This unusual case would be a poor vehicle for 
considering the question presented ................... 16 
III. The Sixth Circuit did not abuse its discretion .... 18 
A. The circumstances of this case amply 
justified the Sixth Circuit’s decision not 
to certify ......................................................... 18 
B. The Sixth Circuit’s case-specific decision 
neither undermines Tennessee’s sovereign 
interests nor encourages forum shopping ....... 21 
C. Jackson National’s proposed certification 
rules lack merit ............................................. 23 
IV. The Court should reject Jackson National’s 
alternative request to hold this case 
pending the Tennessee Supreme Court’s 
decision in McClay .............................................. 25 
CONCLUSION .......................................................... 29 
 
iv 
 
",,http://www.supremecourt.gov/DocketPDF/19/19-4/121068/20191101131827181_19-4%20and%2019-13%20Lindenberg%20BIO.pdf,"CONCLUSION 
For the foregoing reasons, the petitions for writs 
of certiorari should be denied. 
Respectfully submitted,  
 
Molly A. Glover 
   Counsel of Record 
Charles S. Higgins 
William D. Irvine, Jr. 
BURCH, PORTER & JOHNSON,  
   PLLC 
130 North Court Avenue 
Memphis, TN 38103 
(901) 524-5000 
mglover@bpjlaw.com 
November 1, 2019",,,,aae2155
scotus_filing_35764,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF AMICI CURIAE . . . . . . . . . . . . . . . . 1
SUMMARY OF ARGUMENT . . . . . . . . . . . . . . . . . . 1
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2
A. The Applicable Statutes Provide That Rape May
Be Prosecuted at Any Time . . . . . . . . . . . . . . . . . 2
B. CAAF Overruled Congress by Declaring Article
120 Unconstitutional . . . . . . . . . . . . . . . . . . . . . . 3
C. CAAF Ruled Upon A Constitutional Issue That
Was Not Presented . . . . . . . . . . . . . . . . . . . . . . . . 4
D. No Article III Court Has Ever Held Article 120’s
Death Sentence Unconstitutional . . . . . . . . . . . . 4
E. CAAF and Other Military Tribunals Cannot
Exercise the Judicial Power to Declare Laws
Unconstitutional . . . . . . . . . . . . . . . . . . . . . . . . . . 7
F. The Supreme Court Has Never Upheld Any
Decision By CAAF that Declared a Law
Unconstitutional . . . . . . . . . . . . . . . . . . . . . . . . . 11
G. Military Tribunals at All Levels Routinely
Declare Laws Unconstitutional . . . . . . . . . . . . . 12
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 18
ii
",,http://www.supremecourt.gov/DocketPDF/19/19-108/128425/20200113161906551_19-108%2019-184%20Amici%20Brief.pdf,"CONCLUSION
Because CAAF had no power to judge the
constitutionality of Article 120’s death sentence, this
Court should hold that CAAF erred when it held that
the statute of limitations for rape is five years.
Respectfully submitted,
JONATHAN D. HERBST
MARGOLIS EDELSTEIN
The Curtis Center
170 S Independence Mall W
Suite 400E
Philadelphia, PA 19106
PETER COOTE
   Counsel of Record
PENNONI ASSOCIATES INC.
1900 Market Street
Third Floor
Philadelphia, PA 19103
(215) 254-7857
pcoote@pennoni.com
Counsel",,,,aae2155
