Filing Name,Extracted Table of Contents,Extracted Arguments from ToC,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_12622,"TABLE OF CONTENTS 
 
 
TABLE OF AUTHORITIES .......................................................................................... ii 
 
IDENTITY AND INTEREST OF AMICI CURIAE ...................................................... 1 
 
SUMMARY OF THE ARGUMENT .............................................................................. 2 
 
ARGUMENT .................................................................................................................. 3 
 
I. 
The Supremacy Clause Forbids Laches from Barring the Constitutional 
Claim in This Case ................................................................................................ 3 
 
II. 
The United States Constitution and a Federal Statute Established a 
Fixed Day for Presidential Elections .................................................................... 5 
 
CONCLUSION ............................................................................................................... 8 
 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/20/20-810/163088/20201208152905478_Motion%20to%20Submit%20Amicus%20Brief%20in%20Support%20of%20Application%20for%20Injunction.pdf,"CONCLUSION 
 
The Pennsylvania Supreme Court violated the Supremacy Clause when it 
elevated a state-law time bar over the Constitution of the United States. It also 
refused to acknowledge that the Constitution itself and a federal statute dictate the 
date on which the Presidential election must occur. Consequently, in addition to the 
reasons raised by the Applicants themselves, the judgment of the Pennsylvania 
Supreme Court is due to be reversed.  
 
Respectfully submitted December 8, 2020, 
 
/s/ Matthew J. Clark 
MATTHEW J. CLARK* 
  *Counsel of Record 
ROY. S. MOORE 
JOHN A. EIDSMOE 
TALMADGE BUTTS 
CONSTITUTIONAL ATTORNEYS 
P.O. Box 179 
Montgomery, Alabama 36101 
256-510-1828 
 
 
 
 
 
 
 
 
constitutionalattorneys@gmail.com 
  
                                                                                                                                                                                           
Amici simply observe that the COVID-19 pandemic does not justify an unconstitutional statute, 
especially since it was passed in 2019 before the pandemic hit the United States.",,,,aec2244
scotus_filing_12870,"TABLE OF CONTENTS
Questions presented.. . . . . . . . . . . . . . . . . . . . . . . . . . . i
Motion for leave to file. . . . . . . . . . . . . . . . . . . . . . . . . iii
Interest of amicus curiae. . . . . . . . . . . . . . . . . . . . . . . iv
Table of authorities. . . . . . . . . . . . . . . . . . . . . . . . . . . vi
Brief of amicus curiae. . . . . . . . . . . . . . . . . . . . . . . . . 1
Summary of facts and case.. . . . . . . . . . . . . . . . . . . . . 1
Summary of argument. . . . . . . . . . . . . . . . . . . . . . . . . 5
Argument. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6
I. The Washington Supreme Court’s expansion of
both Graham and Miller so as to encompass all
sentences imposed on juveniles prosecuted in adult
court goes too far.. . . . . . . . . . . . . . . . . . . . . . . . . . . 6
A. Narrow proportionality principle. . . . . . . . . . 6
B. Juveniles in adult court. . . . . . . . . . . . . . . . . . 7
C. Nonhomicide vs. homicide.. . . . . . . . . . . . . . 10
II. Victims of juvenile crimes are often pushed to 
the wayside. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
III. This Court’s intervention is particularly 
necessary when the federal Constitution is misused
to nullify a valid state statute.. . . . . . . . . . . . . . . . 19
Conclusion.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 24
(v)
vi
",,http://www.supremecourt.gov/DocketPDF/20/20-830/166819/20210120134115289_20-830tsacCJLF.pdf,"CONCLUSION
The petitions for writs of certiorari should be
granted.
January, 2021
Respectfully submitted,
KY",,,,aec2244
scotus_filing_13155,"TABLE OF CONTENTS
Page
TABLE OF AUTHORITIES . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ii
INTRODUCTION AND INTEREST OF THE AMICUS CURIAE . . . . . . . . . . . . . . 1
SUMMARY OF THE ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2
THE QUESTION OF WHETHER THE SUPREME
COURT OF PENNSYLVANIA VIOLATED THE
ELECTORS CLAUSE IS GOVERNED BY INDE-
PENDENT, NOT DEFERENTIAL, REVIEW . . . . . . . . . . . . . . . . . . . . . . . . . 2
CONCLUSION . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 11
i
",,http://www.supremecourt.gov/DocketPDF/20/20-845/173165/20210326213257390_Trump_v._Boockvar_Bank_Amicus_Brief_20-845.pdf,"CONCLUSION
The question of whether the Supreme Court of Pennsylvania violated the
Electors Clause is governed by independent, not deferential, review.
December 28, 2020
Respectfully submitted,",,,,aec2244
scotus_filing_14135,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ...................................... ii 
STATEMENT OF ISSUES ........................................ 1 
STATEMENT OF CASE ........................................... 2 
STATEMENT OF FACTS ......................................... 5 
SUMMARY OF ARGUMENT  .................................. 7 
ARGUMENT .............................................................. 8 
A. 
Whether Evidence Obtained From Closed 
and Locked Containers During An 
“Inventory Search” Should Have Been 
Excluded From Admission ................................ 8 
B. 
Whether The Evidence Was Sufficient To 
Support A Conviction for Dealing ................... 10 
C. 
Whether Marling’s Sentence Could Be 
Enhanced For A First Time Dealing 
Offense ............................................................. 12 
CONCLUSION ........................................................ 15 
CERTIFICATE OF SERVICE ................................. 16 
 
 
127a 
",,http://www.supremecourt.gov/DocketPDF/20/20-996/166184/20210113172701521_Marling%20v.%20Warden%20-%20Cert%20Petition%20Appendix.pdf,"CONCLUSION 
For each of the foregoing reasons Marling 
respectfully requests the Court reverse all of his 
convictions as flowing from an illegal search, reverse 
his conviction for dealing in a controlled substance and 
remand for resentencing on the remaining counts as a 
result of the insufficiency of the evidence, and reverse 
his habitual offender enhancement and order it 
removed from Marling’s sentence. 
Respectfully submitted, 
ALCO",,,,aec2244
scotus_filing_14781,"TABLE OF CONTENTS 
CORPORATE DISCLOSURE STATEMENT .......................................................... i  
TABLE OF AUTHORITIES .................................................................................... vi 
STATEMENT REGARDING ORAL ARGUMENT ............................................. xv  
STATEMENT OF THE ISSUES............................................................................... 1 
STANDARD OF REVIEW ....................................................................................... 1 
INTRODUCTION ..................................................................................................... 2 
STATEMENT OF THE CASE .................................................................................. 3 
A. THE COVID-19 CRISIS ................................................................................. 4 
1. The March 9, 2020 Ohio State of Emergency and Subsequent Events 
Essentially Close Ohio .......................................................................... 4 
2. The March 22, 2020 Shutdown Order Deepens Ohio’s Restrictions.... 5 
3. The April 30, 2020 Shutdown Order Extends Ohio’s Sweeping 
Restrictions ............................................................................................ 8 
B. THE DISTRICT COURT ENJOINS OHIO’S BALLOT-ACCESS 
RESTRICTIONS ............................................................................................. 9 
C. THE MOTIONS PANEL STAYS THE DISTRICT COURT’S 
PRELIMINARY INJUNCTION ................................................................... 11 
D. CONDITIONS IN OHIO WORSEN AS THE STATE ATTEMPTS 
REOPENING ................................................................................................. 12 
E. THOMPSON SEEKS TO LIFT STAY ......................................................... 15 
SUMMARY OF THE ARGUMENT ...................................................................... 16 
ARGUMENT ........................................................................................................... 17 
I. 
LAWS REGULATING BALLOT ACCESS FOR INITIATIVES 
IMPLICATE THE FIRST AMENDMENT IN THE SIXTH CIRCUIT 
AND IN COURTS ACROSS THE COUNTRY ........................................... 17 
Case: 20-3526     Document: 94     Filed: 08/26/2020     Page: 5
71a
 
iv 
 
A. 
Ballot Initiatives Implicate Core Political Speech and Strict Scrutiny 
Under Meyer-Buckley .......................................................................... 17 
B. 
The Sixth Circuit Has Consistently and Repeatedly Held that the First 
Amendment Applies to Ballot Initiatives ............................................ 19 
C. 
The Sixth Circuit is on the Correct Side of an Emerging Circuit 
Split ...................................................................................................... 20 
II. 
UNDER ANDERSON-BURDICK THE IN-PERSON COLLECTION 
LAWS ARE UNCONSTITUTIONAL AS APPLIED .................................. 22 
A. 
During a Pandemic, the Combined Effect of Strict Enforcement of In-
Person Collection Laws and Ohio’s Shutdown Orders Impose a 
Severe Burden on Circulators Warranting Strict Scrutiny .................. 22 
1. 
A Total Exclusion Litmus Test Was Not the Law Before the 
Pandemic ................................................................................... 22 
2. 
A Total Exclusion Litmus Test Is Not the Law Now ............... 25 
3. 
The First Amendment is Implicated Equally by Restrictions on 
Candidates’ and Initiatives’ Circulators ................................... 29 
4. 
Ohio’s Vague First Amendment Exception Did Not Lessen the 
Severe Burden on Thompson’s Circulation Efforts .................. 30 
5. 
Thompson Has Been and Continues to Be Severely  
Burdened ................................................................................... 33 
6. 
Thompson was Effectively Denied Access to the Ballot and 
Meets Any Total Exclusion Litmus Test  ................................. 38 
B. 
Ohio’s In-Person Collection Laws Do Not Survive Strict Scrutiny ... 40 
1. 
Ohio Cannot Demonstrate That Strict Enforcement of the In-
Person Collection Laws During the Pandemic Is Necessary to 
Further Any Compelling State Interest ..................................... 40 
C. 
Ohio’s In-Person Collection Laws Do Not Even Survive Intermediate 
Scrutiny................................................................................................ 45 
Case: 20-3526     Document: 94     Filed: 08/26/2020     Page: 6
72a
 
v 
 
III. 
INJUNCTIVE RELIEF IS REQUIRED TO REMEDY THOMPSON’S 
INJURY ......................................................................................................... 46 
A. 
The Preliminary Injunction Factors Weigh in Favor of Granting 
Thompson Equitable Relief  ................................................................ 46 
B. 
The District Court Did Not Abuse Its Discretion By Awarding 
Thompson A Negative Preliminary Injunction ................................... 48 
C. 
Thompson Is Also Entitled to Affirmative Relief  .............................. 50 
CONCLUSION ........................................................................................................ 51 
 
 
 
 
 
 
 
 
Case: 20-3526     Document: 94     Filed: 08/26/2020     Page: 7
73a
 
vi 
 
",,http://www.supremecourt.gov/DocketPDF/20/20-1072/167925/20210202145239175_Thompson%20Pet%20App.pdf,"CONCLUSION 
The District Court did not abuse its discretion.  Far from it, it did what was 
necessary both to protect First Amendment rights and the health and safety of 
Ohioans. Appellees respectfully request that the decision below be AFFIRMED. 
Respectfully submitted, 
 
/s/ Jeffrey T. Green 
 
 
Jeffrey T. Green  
SIDLEY AUSTIN LLP 
1501 K Street, N.W. 
Washington, D.C. 20005 
(202) 736-8000 
(202) 736-8711 (fax) 
E-mail: jgreen@sidley.com 
   
 
Dated: August 26, 2020  
Case: 20-3526     Document: 94     Filed: 08/26/2020     Page: 68
134a",,,,aec2244
scotus_filing_1551,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF THE AMICI CURIAE . . . . . . . . . . . 1
SUMMARY OF THE ARGUMENT. . . . . . . . . . . . . . 1
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
THE MANDATORY VACCINATION POLICY OF THE
UNIVERSITY OF CALIFORNIA IS A VIOLATION OF AN
INDIVIDUAL’S FUNDAMENTAL RIGHT TO BODILY
INTEGRITY AND THE RIGHT TO REFUSE UNWANTED
MEDICAL TREATMENT . . . . . . . . . . . . . . . . . . . . . . 4
A. Bodily integrity and the right to refuse
unwanted medical treatment is afforded the
highest protection and the vaccine mandate
that infringes on this right must pass strict
scrutiny, which this mandate does not, and,
therefore, the mandate violates student's
fundamental rights . . . . . . . . . . . . . . . . . . . . . 5
B. The flaws of Jacobson v. Commonwealth of
Massachusetts . . . . . . . . . . . . . . . . . . . . . . . . . 9
II. CONFIDENCE IN THE JUDICIARY. . . . . . . . . . . . . . 11
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
ii
",,http://www.supremecourt.gov/DocketPDF/21/21-295/193905/20210928131011036_21-295%20Amicus%20California%20Constitutional%20Rights%20Foundation.pdf,"CONCLUSION
For the reasons set out above, the decision of the
District Court should be reversed, and the case
remanded for the court to properly apply the strict
scrutiny test afforded to the fundamental rights that
have been violated by the University policy of forced
vaccination. 
Dated: September 28, 2021
Respectfully Submitted,
GARY G. KREEP
   Counsel of Record
932 D Street, Suite 1
Ramona, CA 92065
(760) 803-4029
gary@ggkmail.us
Counsel for Amici Curiae",,,,aec2244
scotus_filing_1554,"TABLE OF CONTENTS 
Page 
INTRODUCTION ..................................................... 1 
STATEMENT ............................................................ 1 
REASONS TO DENY THE PETITION ................... 3 
I. 
This Petition Is a Patent Attempt 
to Circumvent the Restrictions 
on Appealability From an Order 
Denying a TRO. ................................... 4 
II. 
Petitioners Cannot Satisfy Their 
Burden of Showing a Clear and 
Indisputable Right to Mandamus 
Relief. ................................................... 5 
III. 
Petitioners’ Questions Presented 
Were Not Presented Below and 
Rely on Faulty Assumptions. .............. 6 
IV. 
Article III Is a Bar to the Petition 
Because Petitioners Lacked 
Standing at the Outset, or Their 
Claims Are Moot. ................................. 7 
CONCLUSION .......................................................... 8 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/21/21-295/194080/20210929131224081_Final%20Brief.pdf,"CONCLUSION 
The Petition for Writ of Mandamus should be 
denied.",,,,aec2244
scotus_filing_1557,"TABLE OF CONTENTS 
 
Page 
 
TABLE OF AUTHORITIES ............................................... ii 
 
INTEREST OF AMICUS CURIAE ....................................... 1 
 
SUMMARY OF ARGUMENT .............................................. 2 
 
ARGUMENT .................................................................... 3 
 
 I. 
Recent cases and studies demonstrate 
 
 
natural immunity is greater than injected 
 
 
immunity ........................................................ 3 
 
 II. 
Bodily integrity is a fundamental right. ....... 7 
 
III. 
Unavoidably unsafe vaccines and informed 
   
consent. ......................................................... 11 
 
 IV. 
FDA’s alleged ‘vaccine approvals’ obscure 
   
legal reality. .................................................. 15 
 
 V. 
Government agencies misinform the 
   
public. ........................................................... 18 
 
 VI. 
This Court should resolve the split among 
   
the lower Courts. .......................................... 19 
 
CONCLUSION ............................................................... 22 
 
 
 
 
 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/21/21-295/194152/20210929210340743_Amicus%20Brief%2021-295.pdf,"CONCLUSION 
 
Amicus draws the attention of this Court to the 
crucial role of natural immunity in addressing not 
only Petitioners’ significant protected interests, but 
also those same interests of the public during this 
period of declared (but not currently scientifically 
validated) pandemic accompanied by untenable 
medical interventions. This Court ought to take 
notice, as well, that the President seeks to indirectly 
mandate EUA inoculations through employers, 
despite the settled jurisprudence that the States 
alone have such police power (if it exists), and the 
settled jurisprudence of this Court that all human 
beings have a right to informed consent and bodily 
integrity.  
Shall the most serious public health challenge in 
several generations be resolved by executive action 
and by private mandates under color of law without 
meaningful judicial review under the strict scrutiny 
standard? 
 Amicus respectfully requests that this Court 
grant the Petition for a Writ of Mandamus, or in the 
alternative, Certification, in the public interest and 
to protect the interests of the Petitioners and Amicus’ 
associates.  
Respectfully submitted,  
 
P",,,,aec2244
scotus_filing_16012,"TABLE OF CONTENTS 
 
Page 
 
CERTIFICATE OF INTERESTED PERSONS AND CORPORATE 
DISCLOSURE STATEMENT .................................................................... C-1 
STATEMENT REGARDING ORAL ARGUMENT ................................................ i 
TABLE OF AUTHORITIES .................................................................................... iv 
PRELIMINARY STATEMENT ............................................................................... 1 
JURISDICTIONAL STATEMENT .......................................................................... 1 
STATEMENT OF ISSUES ....................................................................................... 2 
I. 
Collateral Estoppel ........................................................................................... 2 
II. 
Retaliation ........................................................................................................ 2 
STATEMENT OF THE CASE .................................................................................. 3 
I. 
Nature of the Case ........................................................................................... 3 
II. 
Course of Proceedings and Disposition Below ............................................... 4 
III. 
Statement of Facts ............................................................................................ 6 
The Parties ....................................................................................................... 6 
The First Action (Smith I) ................................................................................ 8 
First Post-Trial Motion in Smith I ................................................................... 8 
A New Administration & the Salary Equity Adjustment  ............................... 8 
Termination and Confession .......................................................................... 14 
Second Post-Trial Motion in Smith I ............................................................. 16 
University Equal Opportunity Program Complaint ....................................... 16 
Third Post-Trial Motion in Smith I ................................................................ 18 
The Second Action (Smith II) ........................................................................ 18 
IV. 
Standard of Review ........................................................................................ 19 
SUMMARY OF THE ARGUMENT ...................................................................... 20 
Case: 19-12560     Date Filed: 09/09/2019     Page: 5 of 65 
App. 52
 
iii 
 
I. 
Collateral Estoppel ......................................................................................... 20 
II. 
Retaliation ...................................................................................................... 22 
ARGUMENT ........................................................................................................... 23 
I. 
COLLATERAL ESTOPPEL (ISSUE PRECLUSION) ................................ 23 
 
The District Court Erred in Applying Collateral Estoppel (Issue 
Preclusion) to Professor Smith’s Second Lawsuit Where the 
Controlling Facts and Issues Were Distinct and Separate and Not 
Actually Litigated or in Existence during the First Lawsuit ......................... 23 
A. 
Collateral Estoppel Does not Apply to Professor Smith’s 
Second Lawsuit Because the Issues Are Not Identical and 
Were Never Litigated or in Existence in the First Lawsuit................. 25 
i. 
Equal Pay Act ............................................................................ 26 
ii. 
Title VII and FCRA .................................................................. 39 
B. 
Collateral Estoppel Should Not Apply Where Additional 
Evidence in the Second Lawsuit Revealed That the University 
Used Gender as a Means of Setting Salaries ....................................... 42 
II. 
RETALIATION ............................................................................................. 47 
 
The District Court Erred in Finding that the University did not 
Retaliate against Professor Smith Where the University Reset 
(Increased) Professor Smith’s Salary Consistent with Its Own New 
Salary Formula and Prior to Implementation Reduced Professor 
Smith’s Salary within Days or Weeks of Her Filing a Motion for a 
New Trial and Contended the Reduction was Due to Budget 
Constraints and a Novel ""Outlier Theory” .................................................... 47 
Equal Pay Act, Title VII and FCRA .............................................................. 47 
CONCLUSION ........................................................................................................ 53 
Case: 19-12560     Date Filed: 09/09/2019     Page: 6 of 65 
App. 53
 
iv 
 
",,http://www.supremecourt.gov/DocketPDF/20/20-1231/170803/20210303124729711_40275%20pdf%20Smith%20I%20app.pdf,"CONCLUSION 
Appellant requests that the Court reverse the District Court’s grant of 
summary judgment to Appellee, grant Appellant’s motion for summary judgment 
on liability, remand the case to the District Court as needed, reverse the award of 
Court costs and provide other relief as determined.  
Respectfully submitted, 
 
/s/ Stephen M. Smith 
LA State Bar No. 2",,,,aec2244
scotus_filing_16280,"TABLE OF CONTENTS 
Page 
INTEREST OF AMICUS CURIAE ............................. 1 
SUMMARY OF ARGUMENT ..................................... 4 
ARGUMENT ................................................................ 5 
I. 
Residents Of The District Are Denied The 
Essential Right Of Voting Representation In 
Congress. ............................................................... 5 
A. Voting 
Is 
A 
Fundamental 
Right 
“Preservative Of All Rights.” ......................... 5 
B. The 
Lack 
Of 
Congressional 
Voting 
Representation For District Residents 
Contravenes The Basic Constitutional 
Principle Of Self-Governance. ........................ 7 
II. The District Court Erred In Holding That 
Congress Lacks The Authority To Enact 
Legislation That Would Enfranchise District 
Residents. ............................................................ 10 
A. The District Clause Grants Congress 
Plenary Legislative Power Over The 
District. ......................................................... 10 
B. Legal Precedent Supports Congress’s 
Authority to Provide Voting Rights For 
The District. .................................................. 17 
C. Congress Understands Its District Clause 
Authority To Include The Power To 
Legislate Voting Rights For District 
Residents. ...................................................... 21 
CONCLUSION .......................................................... 24 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20-1279/175700/20210414131519905_Castanon%204.14.2021%2010am%20PDFA%20FINAL.pdf,"CONCLUSION  
For the foregoing reasons, the House urges this 
Court to hold that the Constitution grants Congress 
the power to enact legislation providing District 
residents with the fundamental right to voting 
representation in Congress. 
Respectfully submitted,",,,,aec2244
