Filing Name,Extracted Table of Contents,Extracted Arguments from ToC,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_10482,"TABLE OF CONTENTS 
Page 
Table of Contents .................................................  
i 
Table of Authorities .............................................  
ii 
Interests of Amici Curiae ....................................  
1 
Summary of the Argument ..................................  
3 
Argument .............................................................  
5 
 
I.   The rulings below override ongoing public 
debate about whether and how college 
athletes should receive compensation .......  
5 
A.   Student-athlete compensation is the 
subject of ongoing action by Congress, 
state legislatures, and the NCAA ........  
5 
B.   The decisions below will stand in the 
way of comprehensive reform ..............  10 
 II.   The injunction here threatens serious harm 
to collegiate sports in the amici states ........  15 
A.   Schools fund college athletics because 
they beneﬁt students, communities, and 
states, not because they are a money-
making endeavor .................................  15 
B.   The injunction below imperils the many 
benefits college athletics provide to 
students, universities, and states .........  26 
Conclusion ............................................................  35 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/168477/20210208173849434_20210208%20Amicus%20Brief%20of%20States%20Supporting%20Petitioners.pdf,"CONCLUSION 
 
The issue of student-athlete compensation is com-
plex, and it deserves a full, unfettered national discus-
sion to ensure the fair treatment of student-athletes 
while also protecting the matchless beneﬁts that col-
lege athletics provide to institutions of higher educa-
tion, their students, and the public. The injunction below cuts off that important discussion based on an untenable view of Federal antitrust law. This Court should reverse.",,,,da2985
scotus_filing_10484,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES .................................... iii 
INTEREST OF AMICI CURIAE .............................. 1 
SUMMARY OF ARGUMENT ................................... 3 
ARGUMENT ............................................................. 6 
I. 
The Revered Tradition Of Amateurism 
Is Essential To College Sports And 
Cherished By Student-Athletes. .................... 7 
A. 
Student-athletes benefit from 
amateurism in intercollegiate 
athletics. ............................................ 9 
B. 
History confirms the necessity 
of the NCAA’s careful 
regulation to preserve 
amateurism in college sports. ......... 13 
C. 
The NCAA’s compensation caps 
are essential to the tradition of 
amateurism. ..................................... 16 
II. 
The Lower Courts’ Rulings Endanger 
The 
Tradition 
Of 
Amateurism 
By 
Inviting A Compensation Arms Race. ......... 19 
III. 
A 
Compensation 
Arms 
Race 
Undermines 
The 
Tradition 
Of 
Amateurism By Degrading The Athletic 
And Academic Experiences Of Most 
Student-Athletes. ......................................... 23 
A. 
Many college athletics programs 
risk being defunded or cut. ............. 24 
ii 
 
B. 
Student-athletes’ educational 
experiences will also suffer. ............ 31 
CONCLUSION ........................................................ 35 
APPENDIX A - LIST OF AMICI CURIAE 
 
iii 
 
 
 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/168496/20210208191326511_210110a%20Amicus%20Brief%20for%20efiling.pdf,"CONCLUSION 
The judgment of the court of appeals is harmful to 
student-athletes and does not afford the NCAA the 
“ample latitude” this Court has said it needs to super-
intend college athletics within the boundaries of the 
Sherman Act. It must be reversed.  
 
62 Id.",,,,da2985
scotus_filing_10490,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ................................ iii 
INTERESTS OF AMICI CURIAE ......................... 1 
INTRODUCTION AND SUMMARY OF 
ARGUMENT .......................................................... 1 
ARGUMENT .......................................................... 5 
I. 
PETITIONERS’ ARGUMENTS 
WOULD UNDERMINE 
COMPETITION AND CONFLICT 
WITH ANTITRUST LAW ............................. 5 
A. 
Petitioners’ Rule Would Limit 
Antitrust Scope in a Way Deeply 
Disfavored by This Court ................... 5 
B. 
Private Entities Do Not Get to 
Choose Their Own Non-
Competition Antitrust Values ........... 8 
C. 
Markets, Not Committees of 
Competitors, Decide Which 
Products Succeed .............................. 10 
D. 
No Other Economic Integration 
Is Treated as the NCAA Claims 
It Should Be Treated ........................ 11 
E. 
Calling the NCAA a “Joint 
Venture” Adds Nothing to 
Petitioners’ Argument ...................... 13 
ii 
 
II. 
BOARD OF REGENTS CREATES 
NO SPECIAL RULE FAVORING 
THE NCAA .................................................. 14 
A. 
Dicta and Context Reject 
Petitioners’ Radical 
Reinterpretation of Board of 
Regents .............................................. 15 
B. 
Petitioners’ Discussion of Board 
of Regents Is Misleading .................. 17 
C. 
The Lower Court “Consensus” 
Explicitly Rejects Petitioners’ 
Position ............................................. 18 
III. THE COURTS BELOW FOUND A 
HORNBOOK VIOLATION OF 
ANTITRUST LAW ...................................... 20 
A. 
Plaintiffs Demonstrated “Severe” 
Anticompetitive Effects .................... 21 
B. 
The Courts Below Gave the 
NCAA the Benefit of the Doubt 
on Its Purported Procompetitive 
Justifications .................................... 23 
C. 
Petitioners’ Attacks on Steps 
Two and Three Are Incorrect 
and Would Make No Difference ....... 24 
D. 
Even in the Absence of a Less 
Restrictive Alternative, Plaintiffs 
Would Have Won at Balancing ........ 30 
CONCLUSION ..................................................... 32 
APPENDIX – LIST OF AMICI CURIAE ............ 1a 
iii 
 
 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/171392/20210309152142101_Nos.%2020-512%2050-520%20-%20Brief%20of%20Amici%20Curiae.pdf,"CONCLUSION 
For the reasons above, this Court should affirm 
the decision of the court below. 
Respectfully Submitted, 
MICH",,,,da2985
scotus_filing_10493,"TABLE OF CONTENTS 
Page 
Interest of the United States....................................................... 1 
Statement ...................................................................................... 2 
Summary of argument ............................................................... 10 
Argument: 
The courts below correctly held that the NCAA’s rules 
are subject to traditional rule-of-reason review, and 
they properly applied that framework to the facts 
found by the district court ................................................. 13 
A. Petitioners’ restraints on student-athlete 
compensation are subject to fact-intensive scrutiny 
under the rule of reason ................................................. 14 
B. The courts below properly applied the rule of 
reason ............................................................................... 22 
1. The courts below correctly applied step two of 
the rule of reason ...................................................... 22 
2. The lower courts’ step-three analyses were 
sound .......................................................................... 30 
3. Petitioners’ critiques regarding particular  
restraints provide no basis for reversal ................. 32 
Conclusion ................................................................................... 36 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/171478/20210310124248942_20-512bsacUnitedStates.pdf,"CONCLUSION 
The judgment of the court of appeals should be af-
firmed. 
Respectfully submitted. 
JAME",,,,da2985
scotus_filing_10494,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES ....................................... ii 
STATEMENT OF INTEREST OF AMICUS CURIAE
 ..................................................................................... 1 
SUMMARY OF ARGUMENT .................................... 1 
ARGUMENT ............................................................... 4 
I. 
This Case is Like Toolson v. New York Yankees, 
Inc., 346 U.S. 356 (1953) ...................................... 4 
A. The Baseball Cases: Federal Baseball and 
Toolson ........................................................... 4 
B. The College Sports Cases: Board of Regents 
and Alston ...................................................... 6 
II. Toolson Has Had Disastrous Consequences for 
Hundreds of Thousands of American Workers ... 8 
III.  The Court Need Not Reprise Toolson ............... 11 
CONCLUSION .......................................................... 12 
 
 
 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/171494/20210310133236766_Amicus%20Brief.pdf,"CONCLUSION 
The Court should learn from its mistake in Toolson 
and deny Petitioners their requested relief. 
Respectfully submitted,
 
GARRETT R. BROSHUIS 
KOREIN TILLERY LLC 
ONE U.S. BANK PLAZA 
505 North 7th Street 
Suite 3600 
St. Louis, MO 63101 
 
HARRISON L. MARINO 
ADVOCATES FOR MINOR 
LEAGUERS 
 
ANDREW SCHMIDT 
   Counsel of Record 
DAVID SELIGMAN 
TOWARDS JUSTICE 
2840 Fairfax Street 
Suite 220 
Denver, CO 80207 
(720) 441-2236 
andy@towardsjustice.org
Counsel for Amicus Curiae 
 
March 10, 2021",,,,da2985
scotus_filing_10498,"TABLE OF CONTENTS
INTEREST OF AMICI CURIAE ......................................... 1
SUMMARY OF ARGUMENT .............................................. 2
ARGUMENT ......................................................................... 3
I.  Relevant Economic Research ............................... 3
A. Economics Research on College Sports ..... 3
B. Relationship 
of 
Economics 
Research to This Case ................................... 4
II.  The NCAA Is Not a Sports League ....................... 5
A. Conferences and Independents 
Perform the League Function in 
College Sports ................................................. 6
B. The NCAA Is Not a League ......................... 10
III. The NCAA Is Not a College Sports 
Production Joint Venture .................................... 13
A. The NCAA Does Not Produce 
College Sports ............................................... 13
B. The Danger of Believing that the 
NCAA Produces College Sports ................. 14
IV. Amateur College Sports Can Exist 
Without the NCAA ................................................ 15
A. The Peculiar Definition of NCAA 
“Amateurism” ................................................ 15
ii
B. Amateur College Sports Already 
Exist Without the NCAA .............................. 17
C. What If the NCAA Version of 
“Amateur” Sports Did Disappear? .............. 19
V.  The NCAA Facilitates a Cartel Over 
College Athletes .................................................... 20
A.  Member Conferences, 
Independents, and Their NCAA Cartel ...... 21
B.  The General Characteristics of  
Any Cartel ...................................................... 23
C.  Transfers, Inefficiency, and the 
NCAA Cartel Over College Athletes ........... 23
D.  Competitive 
Harm, 
College 
Athletes, and College Sports Fans ............. 27
CONCLUSION .................................................................... 29
APPENDIX:
Complete List of Amici Curiae  
Sports Economists ............................................................ 1a
iii
",,http://www.supremecourt.gov/DocketPDF/20/20-512/171571/20210310171709349_001_Brief_1707.pdf,"CONCLUSION
In conclusion:
• 
The NCAA is not a sports league.
• 
The NCAA is not a production joint venture.
• 
Amateur college sports can exist without the 
NCAA.
• 
The NCAA facilitates a member conference 
cartel over college athletes.
The upshot of these conclusions is that the “joint 
venture” NCAA, designed and implemented by member 
conferences and independents, is a price fixing 
cartel over college athletes. The collusion of member 
conferences and independents to fix this input price is 
not necessary for member conferences and independents 
to fulfill their necessary function of creating conference 
and independent play. While most of the debate is about 
the fairness to athletes, economics adds that there 
are efficiency losses to this cartel behavior and that 
removing the cartel actually produces efficiency gains 
that the courts are not considering yet.
Amici urge the Court to add these conclusions from 
the economic analysis of sports and reject the erroneous 
“joint venture” plea by the NCAA.
It is in the interests of society that the full array of 
antitrust relief be considered in any joint venture activity 
arousing suspicion of anticompetitive behavior. The 
demands that no further rule of reason “burden” be put 
upon “the NCAA”, and that member conferences acting 
via their NCAA deserve even more antitrust leniency, are 
unsupported by economic findings.",,,,da2985
scotus_filing_10504,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ........................................ ii 
INTEREST OF AMICUS CURIAE ............................. 1 
SUMMARY OF ARGUMENT ..................................... 1 
ARGUMENT ................................................................ 5 
I. 
THE COURT CANNOT DECIDE THIS                    
CASE ON THE BASIS ARGUED BY 
PETITIONERS ....................................................... 9 
A. Federal Courts Lack the Authority and 
Ability to Weigh Competition Against 
Incommensurable Values ............................. 10 
 
B. Competition in Input Markets Is Incom-
mensurable with Competition in Output 
Markets .......................................................... 11 
 
C. Multi-Market Balancing Is Unnecessary 
Because Lawful Joint Ventures Promote 
Competition in the Markets Where 
They Restrain Trade ..................................... 15 
II. THE COURT SHOULD NOT CREATE A SPE-
CIALIZED “PRODUCT-DESIGN” EXEMP-
TION FROM THE GENERAL LAWS OF    
ANTITRUST ........................................................ 20 
CONCLUSION ............................................................ 25 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/171528/20210310145500223_AAI%20BSAC%2020-512%20PDFA.pdf,"CONCLUSION 
For the foregoing reasons, the decision of the court 
below should be affirmed.  
 
Respectfully submitted, 
RAND",,,,da2985
scotus_filing_10509,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... ii 
INTERESTS OF AMICI CURIAE .............................. 1 
SUMMARY OF THE ARGUMENT ............................ 2 
ARGUMENT ............................................................... 7 
I. PETITIONERS’ RESTRAINTS SHOULD 
BE SUBJECT TO FULL RULE OF 
REASON REVIEW. ..........................................7 
A. This Court’s Precedents Establish 
Rule of Reason as the Correct 
Standard in Most Cases. ............................ 7 
B. The Argument that “Quick Look” Rule 
of 
Reason 
Applies 
Here 
is 
Unsupported. .............................................. 9 
II. THE 
COURT 
SHOULD 
VIEW 
PETITIONERS’ 
“AMATEURISM” 
JUSTIFICATION WITH SKEPTICISM. ....... 17 
III. THE 
ADDITIONAL 
BENEFITS 
ALLOWED 
STUDENT 
ATHLETES 
UNDER 
THE 
DISTRICT 
COURT’S 
INJUNCTION 
WILL 
NOT 
SPELL 
FINANCIAL RUIN FOR PETITIONERS 
OR THEIR MEMBERS. .................................. 25 
CONCLUSION .......................................................... 32 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20-512/171527/20210310145451996_NCAA%20v%20Alston%20-%20Amicus.pdf,"CONCLUSION 
Amici States respectfully request that the Court 
hold that Petitioners’ restraints on competition are 
subject to rule of reason review.  Amici States further 
request that the Court review Petitioners’ “amateur-
ism” justification with skepticism and reject the no-
tion that the district court’s injunction will spell finan-
cial doom for Petitioners. 
 
 
March 10, 2021 
Respectfully submitted, 
 
MA",,,,da2985
scotus_filing_10667,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ........................................ ii 
INTEREST OF THE AMICUS ................................... 1 
SUMMARY OF ARGUMENT ..................................... 2 
ARGUMENT ................................................................ 3 
I. 
The Neutral Principles Approach Is  
Unworkable And Results In Unconstitutional 
Interference In Church Governance ..................... 4 
II.  A National Rule Of Deference Is Preferable  
To The Current State-By-State Patchwork  
Of Rules ............................................................... 11 
CONCLUSION .......................................................... 13 
 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20-536/161513/20201123115023251_Episcopal%20Church%20Rutherford%20Amicus.pdf,"CONCLUSION 
For the foregoing reasons, as well as those set forth 
by petitioners, certiorari should be granted. 
Respectfully submitted,  
J",,,,da2985
scotus_filing_10715,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ............................................................................................ ii 
MOTION FOR LEAVE TO FILE AMICUS BRIEF ........................................................ v 
MOTION FOR LEAVE TO FILE BRIEF UNDER RULE 33.2 .................................... viii 
BRIEF OF AMICI CURIAE OKLAHOMA AND 17 OTHER STATES IN 
SUPPORT OF APPLICATION TO STAY THE MANDATE ......................................... 1 
Interests of Amici Curiae .................................................................................................... 1 
Summary of the Argument ............................................................................................... 2 
Argument ......................................................................................................................... 4 
I. 
States have important interests in Election Day absentee ballot 
receipt deadlines, which are set pursuant to a quintessentially 
legislative judgment, even if some proportion of voters fail to 
comply. ............................................................................................................... 4 
II. 
The Pennsylvania Supreme Court’s reasoning cannot justify its 
rewriting of election laws in the midst of the general election, 
undermining the selection of our federal government leaders. ......... 12 
Conclusion ...................................................................................................................... 16 
 
 
 
 
 
 
 
 
 
 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/20/20-542/156786/20201005135718021_2020.10.05%20-%20Brief%20of%20Oklahoma%20et%20al.pdf,"Conclusion 
For the foregoing reasons, the Court should grant the application to stay the 
mandate of the Pennsylvania Supreme Court. 
                                            
15 See Stanford-MIT Healthy Elections Project, COVID-Related Election Litigation 
Tracker, https://healthyelections-case-tracker.stanford.edu/.",,,,da2985
