Filing Name,Extracted Table of Contents,Extracted Arguments from ToC,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_37182,"TABLE OF CONTENTS 
Page 
Table of Contents ......................................................... i 
Table of Authorities ................................................... iii 
Interest of Amicus Curiae .......................................... 1 
Summary of the Argument ......................................... 4 
Argument .................................................................... 6 
I. The 
Ninth 
Circuit’s 
Opinion 
Is 
Inconsistent 
with 
the 
Robust 
Constitutional 
Protections 
for 
Civil 
Liberties the Supreme Court Articulated 
in NAACP v. Alabama ...................................... 6 
A. NAACP 
v. 
Alabama 
Protects 
Supporter Lists to Ensure Freedom 
and Privacy of Association .......................... 7 
B. The “Exacting Scrutiny” Standard Is 
Inconsistent with NAACP and Flips 
the Burden to Americans to Justify 
Their Right to Privacy in Their 
Associations ................................................ 9 
C. NAACP ’s Holding and Analysis Apply 
to All Circumstances of Potential 
Retribution for Exercising Freedom of 
Association ................................................ 12 
II. The Court Should Not Erode Protections 
for Minority Opinions .................................... 18 
A. The Administrative State Has Gutted 
Much of the Constitution’s Structural 
and Textual Protections for Minority 
Opinions .................................................... 18 
B. The Court Should Protect Minority 
Opinions and First Amendment Civil 
Liberties .................................................... 19 
(ii) 
 
C. NAACP v. Alabama’s Holding Should 
Be Reaffirmed to Restore Freedoms of 
Association and Speech ............................ 20 
III. The Court Should Not Threaten the 
Religious Freedom of Those Who Wish to 
Practice Anonymous Charitable Giving ....... 21 
IV. The California Attorney General Lacks 
Proper Authority under California Law 
to Demand Charities’ IRS Form 990 
Schedule Bs ................................................... 22 
A. The Attorney General Does Not Have 
Statutory 
Authority 
to 
Demand 
Charities’ Form 990 Schedule Bs ............. 23 
B. The Attorney General’s Unlawful 
Demand 
Violates 
California’s 
Separation of Powers Doctrine ................. 24 
Conclusion ................................................................. 25 
 
  
(iii) 
 
T",,http://www.supremecourt.gov/DocketPDF/19/19-251/170401/20210301130854508_19-251%2019-255%20AFPF%20TMLC%20v%20Becerra%20NCLA%20amicus%20brief.pdf,"CONCLUSION 
This Court should reverse the Ninth Circuit 
because it misapplied this Court’s long-standing civil 
rights precedent first articulated by NAACP v. 
Alabama and due to other constitutional infirmities 
inherent in the opinion rendered below. 
 
 
 
15 This is not to say that the California Legislature could 
constitutionally violate the right to privacy in Californians’ (or 
any 
other 
American’s) 
associations. 
 
The 
California 
Constitution is unequivocal: 
All people are by nature free and independent and have 
inalienable rights. Among these are enjoying and 
defending life and liberty, acquiring, possessing, and 
protecting property, and pursuing and obtaining safety, 
happiness, and privacy. 
Cal. Const. art. I, § 1 (emphasis added).  If its legislature cannot 
intrude upon these constitutional rights, a fortiori, a lone 
member of the executive branch lacks such power.",,,,jh4392
scotus_filing_37187,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... ii 
INTERESTS OF AMICI CURIAE.............................. 1 
SUMMARY OF ARGUMENT .................................... 4 
ARGUMENT ............................................................... 7 
I. 
COMPELLED DISCLOSURES THAT 
INFRINGE ASSOCIATIONAL PRIVACY  
ARE SUBJECT TO EXACTING          
SCRUTINY ....................................................... 8 
II. 
PUBLIC-DISCLOSURE REQUIREMENTS 
ARE CONSTITUTIONALLY SUSPECT, 
EXCEPT IN CIRCUMSTANCES WHERE 
THEY ARE CLOSELY TIED TO AN 
ESPECIALLY IMPORTANT 
GOVERNMENTAL INTEREST, SUCH AS 
THE INTEREST IN PUBLIC OVERSIGHT 
OF CAMPAIGN FINANCE ........................... 14 
III.  
CALIFORNIA’S DE FACTO PUBLIC-
DISCLOSURE REQUIREMENT IS NOT 
SUBSTANTIALLY RELATED TO ANY 
SUFFICIENTLY IMPORTANT 
GOVERNMENTAL INTEREST .................... 22 
CONCLUSION .......................................................... 28 
 
 
 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/170467/20210301143138352_19-251%20Americans%20for%20Prosperity%20v%20Becerra%20Amici%20Curiae%20Brief.pdf,"CONCLUSION 
 
The Court should reverse the judgment below. 
Respectfully Submitted, 
 
 
Brian M. Hauss 
Sherrilyn A. Ifill 
  President and Director-
Counsel 
Janai S. Nelson 
Samuel Spital 
NAACP LEGAL DEFENSE & 
  EDUCATIONAL FUND, INC. 
40 Rector Street, 5th Floor 
New York, NY 10006 
 
Mahogane D. Reed 
NAACP LEGAL DEFENSE & 
  EDUCATIONAL FUND, INC.",,,,jh4392
scotus_filing_37192,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES ...................................... iii 
 
STATEMENT OF INTEREST OF AMICUS 
CURIAE .............................................................. 1 
 
SUMMARY OF THE ARGUMENT AND 
INTRODUCTION ............................................... 2 
 
ARGUMENT ............................................................... 5 
 
I. 
During The Founding Era, Political 
Advocacy That Did Not Disclose The 
Speaker Was Common. ................................ 5 
 
II. 
The Pendulum Swings Towards 
Disclosure, Back To Privacy, and To 
Disclosure Again. ......................................... 9 
 
A. 
At The Beginning Of The 
Twentieth Century, Congress 
Enacted Disclosure Statutes 
That This Court Upheld. ..................... 9 
 
B. 
Beginning In The McCarthy 
Era, This Court Recognized 
That Disclosure Infringes 
Rights That The First 
Amendment Guarantees. .................. 11 
 
III. The Origins and Bases Of Exacting 
Scrutiny ...................................................... 15 
 
ii 
 
A. 
Lower Courts Infused Exacting 
Scrutiny With A Balancing 
Test. .................................................... 17 
 
B. 
Lower Courts Purporting To 
Apply Exacting Scrutiny Are In 
Fact Applying Rational Basis 
Scrutiny. ............................................. 19 
 
IV. The Risks Of Disclosure In The Age 
Of The Internet Require Courts To 
Review Disclosure Statutes Under 
More Restrictive Means. ............................ 25 
 
A. 
States That Promise To Keep 
Donor Information Confidential 
Frequently Fail To Do So. ................. 26 
 
B. 
The Internet Has Exacerbated 
The Harms To Disclosure. ................. 28 
 
CONCLUSION .......................................................... 35 
 
 
 
 
 
 
 
 
 
 
 
 
 
iii 
 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/170552/20210301163304568_19-251%20and%2019-255%20Amicus%20Brief%20Legacy%20Foundation.pdf,"CONCLUSION  
 
This Court has held that compelled disclosure can 
violate associational rights guaranteed under the 
First Amendment to the U.S. Constitution. To 
protect these rights, this Court has developed a test 
that it described as strict. The lower courts, however, 
and the U.S. Court of Appeals for the Ninth Circuit 
here, have applied a diluted version of this Court’s 
test, permitting compelled disclosure in nearly all 
circumstances. To respect the Framers’ defense of 
speaking without disclosing the identity of the 
speaker, to restore the Framers’ view of compelled 
disclosure with “just Alarm,” to provide clarity and 
predictability to states, courts, and speakers, and 
because compelled disclosure has recently caused 
harm to First Amendment associational rights, this 
Court should, as Petitioners urge, apply strict 
scrutiny.  
 
 
 
 
Respectfully submitted,",,,,jh4392
scotus_filing_37202,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF AMICI CURIAE ................................ 1 
SUMMARY OF ARGUMENT ..................................... 1 
ARGUMENT ............................................................... 3 
I. Mass Disclosures Of Donor Identities To 
The Government Is Not Substantially 
Related To Legitimate State Interests. ............. 3 
A. Forty-Seven States And The District Of 
Columbia Do Not Preemptively Compel 
Donor Disclosure ........................................... 4 
B. Amassed Personal Information Heightens 
The Potential For Public Disclosure ............. 6 
C. California’s Policy Imperils Privacy Across 
The Country ................................................... 7 
D. The Consequences Of Disclosure Can Be 
Severe ............................................................. 7 
CONCLUSION ............................................................ 8 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/170569/20210301165759643_19-251%20-255%20tsac%20Arizona.pdf,"CONCLUSION 
California’s compelled disclosure requirement is 
unnecessary to serve any legitimate law enforcement 
purpose, as 47 other states and the District of 
Columbia have all recognized.  The Ninth Circuit’s 
contrary conclusion should be reversed.",,,,jh4392
scotus_filing_37209,"TABLE OF CONTENTS 
QUESTION PRESENTED ........................................... i 
TABLE OF AUTHORITIES ...................................... iii 
INTRODUCTION AND INTERESTS OF AMICI ...... 1 
SUMMARY OF ARGUMENT ..................................... 3 
ARGUMENT ................................................................ 6 
I. 
Donor Information Disclosed to the Government 
Is Easily Misused for Political Ends. ................... 6 
A. History shows that government officials often 
abuse donor or membership information to 
target and harass disfavored voices and 
political rivals. .................................................. 6 
B. The risk of such misuse chills protected 
speech. ............................................................. 12 
II. Compiling Donor Information in Government 
Hands Makes It Vulnerable to Public Disclosure 
that Would Subject Donors to Significant Harms 
Like Doxxing. ...................................................... 15 
CONCLUSION .......................................................... 22 
 
 
 
 
 
 
iii 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/170598/20210301174346978_19-251%20-255%20tsac%20Protect%20the%201st%20and%20Pacific%20Research%20Institute.pdf,"CONCLUSION 
 
The Ninth Circuit’s decision seriously undermines 
the rights of speech and association. Considering the 
historical constancy of governmental abuse and how 
donors are exposed to significant doxxing risks, this 
Court 
should 
hold 
that 
disclosure 
laws 
and 
regulations must be subjected to exacting scrutiny, 
including a meaningful requirement of narrow 
tailoring. 
Respectfully submitted,  
 
C. DEAN MCGRATH, JR. 
MCGRATH & ASSOCIATES 
1025 Thomas Jefferson 
  Street, NW Suite 110G  
Washington, D.C. 20007  
(202) 295-2304 
cdm7578@yahoo.com 
 
 
 
 
March 1, 2021 
 
GENE C. SCHAERR 
ERIK S. JAFFE 
  (Counsel of Record) 
HANNAH C. SMITH 
KATHRYN E. TARBERT 
JOSHUA J. PRINCE 
SCHAERR|JAFFE LLP 
1717 K Street, NW, Suite 900 
Washington, DC 20006",,,,jh4392
scotus_filing_37218,"TABLE OF CONTENTS 
Page 
INTEREST OF AMICUS CURIAE ......................  
1 
SUMMARY OF THE ARGUMENT .....................  
1 
ARGUMENT ........................................................  
4 
 
I.   This Court Should Not Allow Its Sui Gen-
eris Campaign-Finance Jurisprudence to 
Undermine First Amendment Protection 
in Other Areas of the Law .........................  
4 
 II.   The Ninth Circuit’s Ruling Conflicts with 
This Court’s Repeated Recognition That 
Compelled Disclosure Is Necessarily Chill- 
ing ..............................................................  
9 
A.   This Court Has Long Protected Pri-
vate Association from Compelled Dis-
closure ..................................................  
9 
B.   The Ninth Circuit’s Decision Below 
Conflicts with This Precedent .............  14 
 III.   The Ninth Circuit Applied the Wrong 
Level of Scrutiny Because of the Multiplic-
ity of Tests Called “Exacting Scrutiny” .....  17 
A.   Strict Scrutiny Applies to Burdens on 
Charitable Solicitation ........................  17 
B.   The Ninth Circuit Applied Intermedi-
ate Scrutiny, in Conﬂict with This Prec-
edent, Because of the Confusing and 
Conﬂicting Labels This Court Has Ap-
plied to Its Tests ...................................  19 
CONCLUSION .....................................................  25 
 
ii 
 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/170342/20210301113245997_Brief%20of%20Amicus%20Curiae%20Institute%20for%20Justice%20in%20Support%20of%20Petitioners.pdf,"CONCLUSION 
 
For the reasons stated above, this Court should 
now clarify that strict scrutiny remains the proper test 
for reviewing burdens on charitable solicitation, hold 
that the Attorney General’s sweeping intrusion into 
AFP’s and the Center’s private association with its do-
nors does not satisfy strict scrutiny, reverse the Ninth",,,,jh4392
scotus_filing_37229,"TABLE OF CONTENTS 
Page 
 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF AMICI CURIAE ................................ 1 
SUMMARY OF THE ARGUMENT ........................... 2 
ARGUMENT ............................................................... 4 
I. 
THE EXACTING SCRUTINY STANDARD 
AS 
DEFINED BY THE NAACP COURT APPLIES TO 
ASSOCIATIONAL PRIVACY 
IN 501(C)(3) 
ORGANIZATIONS ................................................. 4 
A. The Proper Definition of Exacting Scru-
tiny in the Non-Electoral Context .............. 6 
B. The Ninth Circuit Erred in Failing to 
Apply This Court’s NAACP Standard for 
Exacting Scrutiny ....................................... 7 
C. The Ninth Circuit’s Error Has Effects 
Far Beyond California .............................. 10 
II. CALIFORNIA’S PROHIBITION ON THE PUBLIC 
DISCLOSURE OF SCHEDULE B INFORMATION 
IS INADEQUATE TO PREVENT FIRST AMEND-
MENT HARM ..................................................... 11 
A. California Law Lacks Civil or Criminal 
Sanctions for Violation ............................... 12 
B. Fear of Government Reprisal Chills 
Speech Even in the Absence of Public 
Disclosure. ................................................. 12 
III. MODERN 
TECHNOLOGY 
INCREASES 
THE 
CHILLING EFFECT OF CALIFORNIA’S POLICY .... 17 
CONCLUSION .......................................................... 20 
APPENDIX ............................................................... 21 
ii 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/170548/20210301162005635_Buckeye%20Main%20Document%20E%20FILE%20Mar%201%202021.pdf,"CONCLUSION 
For the reasons stated above, the decision of the 
United States Court of Appeals for Ninth Circuit 
should be reversed. 
 
Respectfully submitted, 
JAY R. CARSON 
  COUNSEL OF RECORD 
ROBERT ALT 
THE BUCKEYE INSTITUTE 
88 EAST BROAD ST., SUITE 1300 
COLUMBUS, OH 43215 
(614) 224-4422 
J.CARSON@WEGMANLAW.COM 
 
COUNSEL FOR AMICI CURIAE",,,,jh4392
scotus_filing_37235,"TABLE OF CONTENTS 
 
Page 
 
Introduction ................................................................. 1 
Statement .................................................................... 2 
A. Factual and legal background ........................ 2 
B. Procedural background ................................. 11 
Summary of argument .............................................. 16 
Argument ................................................................... 18 
I. 
Nonpublic reporting requirements are sub-
ject to exacting scrutiny, not strict scrutiny ...... 18 
II.  Petitioners’ facial challenges to the Sched-
ule B requirement fail ......................................... 28 
A. California’s requirement is substan-
tially related to the State’s regulatory 
and law enforcement interests ..................... 29 
B. Petitioners failed to demonstrate a sig-
nificant burden on First Amendment 
rights ............................................................. 36 
C. Petitioners’ arguments concerning the 
fit between the requirement and the 
State’s interests are unpersuasive ............... 41 
III. Neither petitioner is entitled to an as-ap-
plied exemption on this record ........................... 47 
Conclusion .................................................................. 54 
 
iii 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/172982/20210325141442657_19%20251%2019%20255%20Brief%20on%20the%20Merits.pdf,"CONCLUSION 
The judgment of the court of appeals should be af-
firmed.  
 
Respectfully submitted, 
MATTHEW RODRIQUEZ 
Acting Attorney General 
  of California 
MICHAEL J. MONGAN 
Solicitor General 
TAMAR PACHTE",,,,jh4392
scotus_filing_37245,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF AMICI CURIAE ................................ 1 
SUMMARY OF ARGUMENT .................................... 2 
ARGUMENT ............................................................... 4 
I. 
This Court’s decisions require that donor-
disclosure requirements be substantially related 
to an interest sufficient to justify the burden 
imposed on First Amendment freedoms. ............ 4 
II. California’s reporting requirements impose little 
burden on associational rights in the vast 
majority of their applications. ........................... 12 
III. The challengers have not shown a reasonable 
probability that California’s requirements will 
adversely affect them or their supporters. ........ 15 
CONCLUSION .......................................................... 19 
 
 
 
ii 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/173539/20210331145344824_19-251%20bsac%20Public%20Citizen.pdf,"CONCLUSION 
This Court should affirm the judgment of the court 
of appeals. 
Respectfully submitted, 
SCOTT L. NELSON 
  Counsel of Record 
ALLISON M. ZIEVE 
PUBLIC CITIZEN LITIGATION 
  GROUP  
1600 20th Street NW 
Washington, DC 20009 
(202) 588-1000 
snelson@citizen.org 
Attorneys for Amici Curiae 
March 2021",,,,jh4392
scotus_filing_37255,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... iii 
INTEREST OF AMICI CURIAE ................................. 1 
SUMMARY OF ARGUMENT ...................................... 1 
ARGUMENT ................................................................ 5 
I. PETITIONERS’ THEORY OF ASSOCIATIONAL 
INJURY IS BASED ON EXTRAPOLATION AND 
CONJECTURE, NOT ANY ACTUAL BURDEN ON 
FIRST AMENDMENT RIGHTS .................................... 5 
A. The challenged reporting requirement  
is not a public disclosure law ........................... 5 
B. Even if the possibility of public disclosure 
is credited, the information subject to 
Schedule B reporting is minimal and any 
First Amendment harm remains “highly 
speculative.” ..................................................... 8 
C. There is no evidence of significant donor 
attrition or “chill.” .......................................... 10 
D. Requiring charities to confidentially  
report their major donors to state tax  
authorities does not categorically impose 
“severe burdens on free association.” ............ 13 
II. ANY FIRST AMENDMENT BURDENS HERE ARE 
MINIMAL, SO STRICT SCRUTINY REVIEW—OR 
ITS EQUIVALENT—IS NOT WARRANTED ................ 15 
A. Disclosure laws are subject to exacting 
scrutiny and “substantial relation” review ... 15 
ii 
 
B. Petitioners ignore that the standard of  
review is calibrated to the severity of the 
First Amendment injury ................................ 18 
C. That electoral disclosure is distinguish-
able does not bolster petitioners’ case for 
strict scrutiny ................................................. 22 
D. The “substantial relation” standard does 
not require a least-restrictive-means test ..... 24 
III. PETITIONERS DEMAND UNDULY SWEEPING 
REMEDIES FOR THEIR CLAIMED FIRST 
AMENDMENT INJURIES.......................................... 27 
A. This case presents no opportunity for the 
Court to address public disclosure ................ 28 
B. Petitioners’ particularized argument is 
best addressed narrowly and does not 
support facial relief ........................................ 29 
C. Petitioners concede that not every collec-
tion of donor identifying information 
warrants strict scrutiny ................................. 31 
CONCLUSION ........................................................... 33 
 
 
 
iii 
 
",,http://www.supremecourt.gov/DocketPDF/19/19-251/175665/20210414115123856_AFP%20Amicus_For%20Refiling.pdf,"CONCLUSION 
The judgment of the court of appeals should be af-
firmed. 
 
 
 
Respectfully submitted, 
PAUL M. SMITH 
   Counsel of Record 
TARA MALLOY  
MEGAN P. MCALLEN 
CAMPAIGN LEGAL CENTER 
1101 14th St. NW, Suite 400 
Washington, DC 20005 
(202) 736-2200 
psmith@campaignlegal.org 
 
STUART C. MCPHAIL  
ADAM J. RAPPAPORT  
CITIZENS FOR RESPONSIBILITY 
AND ETHICS IN WASHINGTON 
1101 K St. NW, Suite 201 
Washingt",,,,jh4392
