Filing Name,Extracted Table of Contents,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_38997,"TABLE OF CONTENTS 
 
Page 
 
TABLE OF AUTHORITIES ...................................... ii 
INTEREST OF AMICUS CURIAE ........................... 1 
SUMMARY OF ARGUMENT .................................... 3 
ARGUMENT .............................................................. 5 
I. 
This Court’s Intervention Is Necessary to 
Clarify the Strict Limits on Judicial  
Creation of ATS Causes of Action ....................... 5 
II. Whether Jesner Permits ATS Liability for 
Domestic Corporations Is an Exceedingly 
Important Question That Has Divided the 
Lower Courts, and That the Ninth Circuit 
Decided Incorrectly ............................................ 10 
A. The Separation-of-Powers Holding of 
Jesner Forecloses Judicial Creation of 
Any ATS Cause of Action Against  
Domestic Corporations ............................... 12 
B. The Additional Grounds Cited By the 
Jesner Plurality and Concurrences 
Also Preclude ATS Liability for  
Domestic Corporations ............................... 14 
CONCLUSION ......................................................... 19 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-416/120539/20191028175509579_19-416%20and%2019-453%20tsac%20Chevron%20Corporation.pdf,"CONCLUSION 
For these reasons, the Petitions should be 
granted. 
 
OCTOBER 28, 2019 
  Respectfully submitted,",,,,jjl2245
scotus_filing_39030,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES .................................. iv 
INTERESTS OF AMICI CURIAE .......................... 1 
SUMMARY OF ARGUMENT ................................. 1 
ARGUMENT ........................................................... 4 
THE ATS SUPPLIES NO CAUSE OF  ACTION 
FOR AIDING AND ABETTING ....................................... 4 
 
A. Congress, not the Judiciary, creates 
causes of action ............................................. 4 
 
B. Sosa cabins a federal court’s ability to 
create a cause of action under the ATS ....... 6 
 
C. Federal courts may not extend ATS  
liability to aiders and abettors ..................... 8 
 
CONCLUSION ...................................................... 15 
 
 
 
 
 
 
iv 
",http://www.supremecourt.gov/DocketPDF/19/19-416/153297/20200908113835216_WLF%20Nestle%20SCOTUS.pdf,"CONCLUSION 
 
The Ninth Circuit’s judgment should be re-
versed. 
 
Respectfully submitted, 
 
CORY L. ANDREWS 
   Counsel of Record 
CORBIN K. BARTHOLD 
WASHINGTON LEGAL 
   FOUNDATION 
2009 Mass. Ave., NW 
Washington, DC 20036 
(202) 588-0302 
September 8, 2020            candrews@wlf.org",,,,jjl2245
scotus_filing_39039,"TABLE OF CONTENTS 
Page 
Interest of the United States....................................................... 1 
Statement ...................................................................................... 2 
Summary of argument ................................................................. 6 
Argument ....................................................................................... 9 
I. 
The ATS does not authorize liability for domestic 
corporations .................................................................... 10 
A. Separation-of-powers principles foreclose 
domestic-corporation liability ................................ 12 
B. Foreign-policy considerations confirm that 
domestic corporations should not be held liable .. 15 
C. Additional considerations counsel against 
domestic-corporation liability ................................ 20 
II. Respondents fail to state a claim of domestic 
aiding and abetting ........................................................ 22 
A. Aiding and abetting is not cognizable under the 
ATS ........................................................................... 22 
B. Respondents’ aiding-and-abetting claims are 
impermissibly extraterritorial ............................... 26 
Conclusion ................................................................................... 34 
",http://www.supremecourt.gov/DocketPDF/19/19-416/153365/20200908144507659_19-416tsacUnitedStates.pdf,"CONCLUSION 
The judgment of the court of appeals should be re-
versed. 
Respectfully submitted. 
MARIK A. STRING 
Acting Legal Adviser  
Department of State 
 
JEFFREY B. WALL 
Acting Solicitor General 
JEFFREY BOSSERT CLARK 
Acting Assistant Attorney 
General 
HASHIM M. MOOPPAN 
Counselor to the Solicitor 
General 
AUSTIN L. RAYNOR 
Assistant to the Solicitor 
General 
MELISSA N. PATTERSON 
DANA L. KAERSVANG 
JOSHUA M. K",,,,jjl2245
scotus_filing_39040,"TABLE OF CONTENTS 
 
INTEREST OF AMICI CURIAE ............................. 1 
SUMMARY OF THE ARGUMENT ......................... 1 
ARGUMENT .............................................................. 3 
I. 
CONGRESS ENACTED THE ATS TO 
ADDRESS TORT CLAIMS BY ALIENS, 
WHICH, IF LEFT UNREDRESSED, MIGHT 
GIVE OTHER COUNTRIES “JUST CAUSE” 
FOR WAR.......................................................... 3 
A. This Court Has Not Recognized A Cause Of 
Action Under The ATS For Conduct That 
Does Not Implicate An International Duty 
Of The United States. ................................. 3 
B. The ATS Was Enacted To Address Only 
Law-Of-Nations Violations That 
“Threatened Serious Consequences” For 
The Diplomacy Or Security Of The United 
States. .......................................................... 5 
C. Contrary To The Purpose Of The ATS, 
Recognizing A Cause Of Action Here Is 
More Likely To Cause Diplomatic Tensions 
Than To Avoid Them. .................................. 9 
II. 
PRIVATE CORPORATIONS CANNOT BE 
SUED UNDER THE ATS............................... 13 
A. Corporate Liability Under The ATS 
Requires, At A Minimum, Consensus 
Under International Law That Private 
Corporations Should Be Liable For 
Violations Of The Law Of Nations. .......... 13 
 
 
 
 
 
ii 
 
B. There Is No International Consensus That 
Private Corporations May Be Liable For 
Violations Of Customary International 
Law. ........................................................... 15 
C. Isolated Examples Of Corporate Liability 
Do Not Establish A Consensus. ................ 22 
CONCLUSION ......................................................... 31 
APPENDIX .............................................................. 1a 
 
 
 
 
 
 
 
 
iii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-416/153336/20200908132345115_19-416%2019-453%20Amicus%20Brief.pdf,"CONCLUSION 
The judgment of the Court of Appeals should be 
reversed. 
 
Respectfully submitted, 
 
SAMUEL ESTRE",,,,jjl2245
scotus_filing_39059,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES ....................................... ii 
 
INTEREST OF AMICI CURIAE ................................ 1 
 
SUMMARY OF ARGUMENT ..................................... 3 
 
ARGUMENT ............................................................... 5 
 
I. 
Congress Recognized Aiding and 
Abetting as a Viable Mode of Liability 
In Enacting the TVPA, a Statute That 
Complements the Remedies Available 
Under the ATS. .............................................. 5 
 
A. Congress Enacted the TVPA to 
Supplement, Not Restrict, the 
ATS. ........................................................ 7 
 
B. The TVPA Provides a Civil 
Remedy for Torture and 
Extrajudicial Killings Committed 
Abroad, Including Through 
Aiding and Abetting Liability. ............ 12 
 
II. 
Aiding and Abetting Liability Under 
the Alien Tort Statute Furthers 
Important U.S. Interests. .......................... 17 
 
CONCLUSION .......................................................... 26 
 
 
 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-416/158375/20201021125637549_19-416%20and%2019-453%20Center%20for%20Justice%20Amicus.pdf,"CONCLUSION 
For the foregoing reasons, and those put forth by 
the Respondents and other amici in support of 
Respondents, the judgment of the Ninth Circuit 
Court of Appeals should be upheld. 
 
Respectfully submitted,",,,,jjl2245
scotus_filing_39063,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ...................................... iii 
INTEREST OF AMICI CURIAE ................................ 1 
INTRODUCTION ....................................................... 3 
SUMMARY OF ARGUMENT .................................... 7 
ARGUMENT ............................................................... 8 
I. CUSTOMARY INTERNATIONAL LAW 
PROHIBITS VIOLATIONS OF FUNDA-
MENTAL HUMAN RIGHTS BUT DOES 
NOT PROVIDE THE MEANS OF 
ENFORCING THOSE NORMS ....................... 8 
II. LIMITATIONS ON ENFORCEMENT 
MECHANISMS ARE NOT LIMITA-
TIONS ON THE APPLICABILITY OF 
HUMAN RIGHTS NORMS THEM-
SELVES .......................................................... 14 
A. Limits on the jurisdiction of inter-
national criminal tribunals are not 
limits on the norms themselves ............... 14 
B. Obligations in suppression conven-
tions to prosecute or extradite natural 
persons do not imply that the norms 
enforced are limited to natural 
persons ...................................................... 20 
C. Nations are free to enforce inter-
national human rights norms by 
creating liability under domestic law ...... 22 
III. INTERNATIONAL 
LAW 
PERMITS  
A CAUSE OF ACTION AGAINST 
DOMESTIC CORPORATIONS ..................... 27 
 
ii
A. The proper question is whether the 
particular norms at issue distinguish 
between 
natural 
and 
juridical 
persons ...................................................... 27 
B. Recognizing a cause of action against 
domestic corporations is consistent 
with customary international law 
limits on jurisdiction to prescribe ............ 28 
CONCLUSION .......................................................... 30 
 
  
 
iii 
",http://www.supremecourt.gov/DocketPDF/19/19-416/158402/20201021145658638_19-416%2019-453bsacIntlLawScholars.pdf,"CONCLUSION 
The court of appeals in this case asked the correct 
question under international law: whether the cus-
tomary international law prohibition against slavery 
applies to corporations. Because the prohibition does, 
the United States is free to recognize a cause of action 
under the ATS against domestic corporations for  
violating that norm. The judgment of the court of  
appeals should be affirmed. 
 
Respectfully submitted. 
 
WI",,,,jjl2245
scotus_filing_39066,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ...................................... iii 
STATEMENT OF INTEREST .................................... 1 
SUMMARY OF ARGUMENT ..................................... 4 
ARGUMENT ................................................................ 6 
I. This Administration’s Radical Departure 
From The Longstanding Executive Branch 
Reading Of The ATS Flouts The Settled 
Understanding Of All Three Branches Of 
The Federal Government. ..................................... 6 
A.  For several decades, the Executive 
Branch has taken the view that federal 
courts have original jurisdiction over 
civil actions for torts committed in 
violation of the law of nations, without 
exempting torts committed by U.S. 
corporations. ..................................................... 7 
B. This Administration’s new claim that 
U.S. corporate liability is “a question for 
Congress” ignores that Congress has 
already decided that U.S. corporations 
may be held liable for supporting 
human trafficking, slavery, and forced 
labor. ............................................................... 11 
C. Consistent judicial precedent reinforces 
the longstanding statutory 
interpretation that U.S. corporations 
are not immune from civil liability 
under the ATS. ............................................... 15 
ii 
 
II. Rewriting The Statute To Add A 
Categorical Bar To U.S. Corporate Liability 
Would Undermine U.S. Foreign Policy. .............. 16 
A. Categorically barring U.S. corporate 
liability under the ATS would 
undermine congressional and executive 
actions to promote U.S. corporate 
leadership on human rights and forced 
labor. ............................................................... 18 
B. Domestic corporate liability under the 
ATS comports with the U.S. 
government’s broad foreign policy goals 
of promoting good corporate behavior 
abroad by U.S. actors. .................................... 23 
C. There is no need for a categorical bar on 
ATS liability for domestic corporations 
because judicial tools of civil procedure 
can effectively eliminate frivolous 
claims. ............................................................. 27 
CONCLUSION .......................................................... 28 
 
 
 
 
iii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-416/158360/20201021121655062_19-416%2019-453%20Former%20Government%20Officials%20Nestle%20v%20Doe%20Amicus%20Brief%20.pdf,"CONCLUSION 
For the foregoing reasons, amici urge the Court to 
rule in favor of the respondents, and to reject the 
United States government’s radical request to cate-
gorically bar U.S. corporate liability under the Alien 
Tort Statute.",,,,jjl2245
scotus_filing_39080,"TABLE OF CONTENTS 
INTEREST OF AMICI CURIAE ................................ 1 
SUMMARY OF ARGUMENT ..................................... 5 
ARGUMENT ................................................................ 7 
I. 
Combating Trafficking Around the Globe is a 
Top Congressional Priority Pursued Through 
Broad and Multifaceted Efforts ....................... 8 
A. Congress spent years studying and 
developing a response to the global scourge 
of human trafficking. ..................................... 9 
B. Congress carried out its antitrafficking policy 
through the numerous mutually reinforcing 
provisions of the Trafficking Victims 
Protection Act of 2000 and its subsequent 
reauthorizations and amendments. ............ 22 
C. The TVPRA authorizes civil actions similar 
to the claims brought by the Malian children 
in this case. ................................................... 26 
II. The TVPRA is the Proper Guidepost for 
Assessing Congressional Choices. .................. 30 
CONCLUSION .......................................................... 34 
 
 
 
 
 
 
ii 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-416/158424/20201021160124032_40229%20pdf%20Jacques.pdf,"CONCLUSION 
United States courts are an appropriate forum to 
hear claims that United States citizens, whether 
individuals or corporations, have aided and abetted 
child slavery. Such conduct is no less horrendous and 
no less deserving of redress when the enslaved 
children are forced to labor outside our shores. 
 
 
Respectfully submitted. 
 
6 Not surprisingly given the TVPRA’s textual clarity on this 
matter, lower courts have routinely heard civil actions against 
corporate defendants under the TVPRA. Indeed, 66% of the 
lawsuits trafficking victims have filed under the TVPRA have 
named corporate or organizational defendants. See Alexander F. 
Levy, Federal Human Trafficking Civil Litigation: 15 Years of 
the Private Right of Action, Human Trafficking Legal Center 18 
fig. 12 (2018).",,,,jjl2245
scotus_filing_39130,"TABLE OF CONTENTS 
Page 
QUESTIONS PRESENTED ....................................... i 
PARTIES TO THE PROCEEDING ........................... ii 
TABLE OF AUTHORITIES ...................................... vi 
INTRODUCTION ....................................................... 1 
STATEMENT ............................................................. 2 
A. Fannie and Freddie are forced into conserva-
torship and subjected to the Purchase Agree-
ments with Treasury............................................. 2 
B. Unwarranted accounting decisions artificially  
increase the Companies’ draws from Treasury,  
and the Companies return to sustained  
profitability. .......................................................... 6 
C. FHFA and Treasury impose the Net Worth 
Sweep, thwarting Fannie’s and Freddie’s  
rehabilitation and enriching the federal  
government at the expense of private  
shareholders. ......................................................... 8 
D. Proceedings Below. ............................................. 10 
SUMMARY OF ARGUMENT .................................. 13 
ARGUMENT ............................................................ 15 
I. 
THE SUCCESSION CLAUSE DOES NOT 
BAR PLAINTIFFS’ CHALLENGE TO THE 
NET WORTH SWEEP .................................. 15 
A. Plaintiffs’ Statutory Claim is Direct  
Under the APA. ........................................ 16 
 
 
 
 
 
 
iv 
 
 
 
 
B. Plaintiffs’ Statutory Claim Is Direct  
Under Background Principles of  
Corporation Law. ...................................... 24 
C. Plaintiffs Can Maintain a Derivative  
Suit Because the Conservator Has a  
Conflict of Interest. .................................. 30 
II. 
THE ANTI-INJUNCTION CLAUSE DOES 
NOT BAR PLAINTIFFS’ STATUTORY  
CHALLENGE TO THE NET WORTH  
SWEEP ........................................................... 38 
A. The Net Worth Sweep is Antithetical  
to FHFA’s Conservatorship Mission. ....... 39 
1. FHFA’s conservatorship mission  
is to preserve and conserve assets  
and restore the Companies to  
soundness and solvency. ..................... 39 
2. FHFA abandoned its conservatorship 
mission when it imposed the Net  
Worth Sweep. ...................................... 46 
3. The Net Worth Sweep is an  
impermissible end-run around the  
statute’s receivership provisions. ....... 49 
B. Defendants’ “Vicious Cycle” Argument 
Fails on its Own Terms and Proceeds  
from a Disputed Factual Premise. ........... 52 
III. 
FHFA’S STRUCTURE VIOLATES THE  
SEPARATION OF POWERS ........................ 60 
 
 
 
 
 
 
v 
 
 
 
 
IV. 
THE THIRD AMENDMENT MUST BE  
SET ASIDE BECAUSE IT WAS IMPOSED 
BY AN UNCONSTITUTIONAL AGENCY ... 62 
A. When a Federal Official Acts Without  
Constitutional Authority, Vacatur of  
the Official’s Actions Is the Appropriate  
Remedy. ..................................................... 62 
B. The Harmless Error Rule Does Not  
Provide a Basis for Denying Plaintiffs  
a Meaningful Remedy. .............................. 66 
1. The harmless error rule does not  
apply in separation of powers cases. .. 66 
2. FHFA’s violation of the separation  
of powers was not harmless. ............... 70 
C. Defendants’ Equitable Defenses Do Not 
Provide a Basis for Denying Plaintiffs a 
Meaningful Remedy. ................................ 74 
D. HERA’s “Best Interests” Provision  
Cannot be Severed from the Director’s  
For-Cause Removal Protection. ............... 77 
CONCLUSION ......................................................... 79 
 
 
 
 
 
 
 
 
vi 
 
 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-422/154153/20200916135926128_19-422%20Brief%20of%20Patrick%20J.%20Collins%20et%20al..pdf,"CONCLUSION 
The Court should affirm the Fifth Circuit’s statu-
tory ruling and its ruling that FHFA is unconstitu-
tionally structured. It should reverse the Fifth Cir-
cuit’s ruling on the appropriate remedy for Plaintiffs’ 
constitutional claim and order that the Third Amend-
ment be set aside. 
Respectfully submitted,  
 Charles Flores 
BECK REDDEN LLP 
1221 McKinney St. 
Houston, Texas 77010 
 (713) 951-3700 
 
Charles J. Cooper 
   Counsel of Record 
David H. Thompson 
Peter A. Patterson 
Brian W. Barnes 
COOPER & KIRK, PLLC 
1523 New Hampshire  
   Avenue, N.W. 
Washington, D.C. 20036 
(202) 220-9600 
ccooper@cooperkirk.com 
Counsel for Patrick J. Collins, et al. 
September 16, 2020",,,,jjl2245
scotus_filing_39139,"TABLE OF CONTENTS 
 
Page 
 
 
 
 
INTERESTS OF THE AMICUS ................................ 1 
SUMMARY OF ARGUMENT .................................... 3 
ARGUMENT ............................................................... 8 
I. 
The Unprecedented Net Worth Sweep 
Exceeds the Statutory Powers of a 
Conservator to Rehabilitate Troubled 
Financial Institutions. ..................................... 8 
II. 
Enforcement of the Anti-Injunction 
Provision to Insulate the Net Worth 
Sweep from Judicial Review Would 
Violate Due Process. ...................................... 15 
CONCLUSION ......................................................... 19 
 
 
 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-422/154723/20200923140924837_19-422%2019-563%20tsac%20Vartanian.pdf,"CONCLUSION 
For the foregoing reasons, this Court should 
affirm the Fifth Circuit’s rulings that the shareholders 
have plausibly alleged that the Net Worth Sweep is 
not within FHFA’s authority as a conservator and that 
the statutory claim of the Companies’ shareholders is 
therefore not barred by HERA’s anti-injunction 
provision. 
Respectfully submitted, 
 
LINDA C. GOLDSTEIN 
Counsel of Record 
DECHERT LLP 
1095 Avenue of the Americas 
New York, NY 10036 
(212) 698-3500 
linda.goldstein@dechert.com",,,,jjl2245
