Filing Name,Extracted Table of Contents,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_37499,"TABLE OF CONTENTS 
Page(s) 
Interest of Amicus Curiae ......................................................... 1 
Introduction and summary of the argument ........................ 2 
Argument ...................................................................................... 4 
I. 
Lay teachers in Catholic schools play a critical 
role in transmitting the Catholic faith to the 
next generation ............................................................. 4 
II. Catholic schools—staffed primarily by lay 
teachers—have a transformative impact on 
inner-city communities ................................................. 7 
III. A functional approach to the ministerial 
exception protects Catholic schools’ ability to 
further the Church’s principal mission..................... 15 
Conclusion ................................................................................. 17 
 
 
 
ii 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132590/20200210200939336_19-267%20tsac%20Partnership%20Schools.pdf,"CONCLUSION 
For the foregoing reasons, the Court should reverse 
the decisions below. 
Respectfully submitted. 
AVISHAI D. DON 
ARNOLD & PORTER  
KAYE SCHOLER LLP 
250 West 55th Street 
New York, NY 10019 
(212) 836-80",,,,jk4739
scotus_filing_37508,"TABLE OF CONTENTS 
QUESTION PRESENTED ........................................... i 
TABLE OF AUTHORITIES ....................................... iii 
INTEREST OF AMICUS CURIAE ............................. 1 
INTRODUCTION 
AND 
SUMMARY 
OF 
ARGUMENT ................................................................ 2 
ARGUMENT ................................................................ 5 
I.   THE 
PRINCIPLES 
ADOPTED 
IN 
THE 
COURT’S PRIOR RELIGION CASES DICTATE 
RECOGNITION OF A ROBUST MINISTERIAL 
EXCEPTION. ........................................................ 5 
II.   THE 
MINISTERIAL 
EXCEPTION 
DOCTRINE IS JURISDICTIONAL, RATHER 
THAN AN AFFIRMATIVE DEFENSE. ............. 12 
III.   THE NINTH CIRCUIT’S MECHANICAL 
APPLICATION 
OF 
THE 
MINISTERIAL 
EXCEPTION ESTABLISHED IN HOSANNA-
TABOR FAILS TO PROTECT CORE FIRST 
AMENDMENT FREEDOMS. ............................. 20 
IV.   THE 
COURT 
SHOULD 
ACCORD 
DEFERENCE 
TO 
A 
RELIGIOUS 
ORGANIZATION’S DESIGNATION TO  FULLY 
PROTECT THE IMPORTANT LIBERTIES AT 
STAKE. ................................................................ 28 
CONCLUSION .......................................................... 31 
 
 iii 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132534/20200210154553442_19-267%20and%2019-348%20Amicus%20Rutherford%20in%20Support%20of%20Petitioners.pdf,"CONCLUSION 
In the end, the best protection for religious 
liberty is to vindicate the separation between church 
and state that the ministerial exception doctrine 
vindicates by recognizing separate spheres of 
competence:  a civil jurisdiction independent from 
the 
church 
and 
an 
ecclesiastical 
jurisdiction 
independent from the state in relation to religious 
matters.  By its nature, the ministerial exception 
doctrine is jurisdictional, not an affirmative defense.  
To assess the applicability of the doctrine in reaction 
to a Rule 12(b)(1) motion, no test can answer every 
question with fidelity to the First Amendment if that 
test is applied in a rigid and insensitive manner. The 
nature of the dispute must always be considered; 
regardless of the employee’s duties.  A religious 
organization may have a religious basis for the 
termination of employment that is protected by the 
First Amendment.  Whatever test they employ, the 
lower courts should be instructed to tread with 
caution 
and 
to 
consider 
carefully 
whether 
adjudicating the issues raised by the particular 
dispute will entangle the court in matters of faith.    
The Court can come closer to the ideal with a more 
sensitive, flexible and principled test.",,,,jk4739
scotus_filing_37510,"TABLE OF CONTENTS 
 
TABLE OF AUTHORITIES ...................................... vi 
INTEREST OF THE AMICUS CURIAE.................... 1 
SUMMARY OF ARGUMENT ..................................... 3 
ARGUMENT ............................................................... 5 
I. 
The Assembly Clause Complements The 
Ministerial Exception And Further 
Supports Reversal In These Cases. .................... 5 
A. The Assembly Clause was originally 
understood to protect the rights of 
religious groups. ........................................... 5 
1. Early Congressional debates show 
that the Assembly Clause was meant 
to protect groups’ rights to form and 
to meet without government 
interference. .............................................6 
2. Throughout the Nineteenth Century, 
state court decisions relied on 
assembly rights to protect the rights 
of religious organizations to meet 
and to determine their own 
membership. ............................................9 
B. Modern First Amendment doctrine 
focuses on a right of “expressive 
association” that is narrower than 
the right of assembly. ................................. 12 
 
 
 
iv 
1. The Court’s Assembly Clause 
jurisprudence was robust and 
distinct during the 1930s and 1940s. .... 13 
2. The modern right of association is 
partially anchored in the Assembly 
Clause. .................................................... 15 
3. The Court’s decision in Roberts v. 
United States Jaycees formed a 
conceptual framework for the right 
of association distinct from the 
assembly right. ...................................... 17 
C. The Court should expressly recognize 
the Assembly Clause roots of the 
right of association in assessing the 
scope of the ministerial exception 
here. ............................................................ 21 
D. The Assembly Clause also prevents 
the state from interfering in 
Petitioners’ decisions regarding 
whom they empower to carry out 
their religious missions. ............................. 23 
 
 
 
v 
II. 
Hosanna-Tabor And Other Supreme Court 
Decisions Establish That The Assembly 
Clause, Along With The Religion Clauses, 
Provides Support For A Robust Ministerial 
Exception. .......................................................... 25 
III. Recognizing The Role Of The Assembly 
Clause Would Help Ensure Adequate 
Protection For The Rights Of Religious 
Groups. ............................................................... 30 
A. Christian Legal Society v. Martinez 
illustrates the risks of assessing 
religious groups’ right of association 
claims without regard to the 
Assembly Clause. ....................................... 30 
B. Lower court decisions upholding 
prohibitions on worship in public 
spaces illustrate the risks of 
assessing religious groups’ First 
Amendment claims without regard to 
the Assembly Clause. ................................. 32 
CONCLUSION .......................................................... 35 
 
 
 
 
 
 
vi 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132555/20200210164500558_John%20D.%20Inazu%20Morrissey%20Amicus%20Brief%202-10-2020%20FINAL.pdf,"CONCLUSION 
For the foregoing reasons, this Court should re-
verse the judgments of the Ninth Circuit in both of the 
consolidated cases.",,,,jk4739
scotus_filing_37516,"TABLE OF CONTENTS 
QUESTION PRESENTED.......................................... i 
TABLE OF AUTHORITIES ...................................... iii 
INTEREST OF AMICUS CURIAE............................. 1 
SUMMARY OF ARGUMENT ..................................... 1 
ARGUMENT ............................................................... 2 
I. The Ministerial Exception Serves the Purpose 
of the Religion Clauses by Ensuring that the 
Federal Government Does Not Interfere with 
Individual Freedom of Religion........................ 2 
A. The Establishment Clause protects religious 
institutions from federal interference.............. 2 
B. The ministerial exception keeps government 
out of religious matters and should be applied 
broadly. ............................................................. 8 
II. Courts Must Defer to a Religious 
Organization’s Sincere Determination as to 
Who Qualifies as a “Minister.” ....................... 11 
CONCLUSION .......................................................... 14 
 
 
 
iii 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132508/20200210140727897_19-267%20tsac%20CCJ.pdf,"CONCLUSION 
The ministerial exception implements the reli-
gious freedoms of the Establishment Clause – the 
freedom from government interference in the selec-
tion and retention of individuals who will convey the 
message of a religious organization or pursue its mis-
sion.  The court should defer to the good-faith deter-
mination of the religious organization as to who those 
individuals are within the organization. 
 
February 2020    
 
Respectfully submitted, 
 
 
JO",,,,jk4739
scotus_filing_37520,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ........................................ii 
INTEREST OF THE AMICUS CURIAE.................... 1 
SUMMARY OF ARGUMENT ..................................... 2 
ARGUMENT................................................................ 5 
I. 
The ministerial exception protects the 
courts from exercising governmental 
authority to review religious determi-
nations ............................................................ 5 
II. Because of the protections afforded by 
the ministerial exception, its applica-
tion should be determined before courts 
reach the merits .............................................. 8 
A. If discovery is needed to decide if 
the ministerial exception applies, 
discovery should be limited to that 
issue ........................................................ 11 
B. If trial is necessary, courts should 
consider bifurcating trial on the 
ministerial exception from trial on 
the merits ............................................... 14 
C. Orders denying the application of 
the ministerial exception should be 
immediately appealable ......................... 15 
CONCLUSION .......................................................... 17 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132506/20200210140552303_EPPC%20Amicus%20Brief.pdf,"CONCLUSION 
The Court should reverse the judgments below. In 
so doing, the Court should clarify the structural 
protections afforded by the ministerial exception and 
instruct lower courts to resolve whether the 
ministerial exception applies as early as possible in 
cases where it arises. 
 
 
Respectfully submitted, 
 
MATTHEW T.",,,,jk4739
scotus_filing_37523,"TABLE OF CONTENTS
TABLE OF AUTHORITIES . . . . . . . . . . . . . . . . . . iii
INTEREST OF AMICUS CURIAE . . . . . . . . . . . . . . 1
INTRODUCTION AND 
SUMMARY OF THE ARGUMENT . . . . . . . . . . . 2
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
MINISTERIAL 
EMPLOYEES 
ARE 
THE
“LIFEBLOOD” 
OF 
A 
RELIGIOUS
ORGANIZATION 
BECAUSE 
THEY 
ARE
CRITICAL 
TO 
THE 
ORGANIZATION’S
ABILITY TO FULFILL ITS MISSION AND
DISSEMINATE ITS MESSAGE. . . . . . . . . . . . . . 4
A. The ministerial exception implicates a trilogy
of core First Amendment rights— speech,
association, and religion.. . . . . . . . . . . . . . . . . 5
B. The schools are religious associations
entitled to define and express themselves.. . . 5
C. A religious school is engaged in speaking a
message that is inextricably linked to its
mission. The schools must retain the
exclusive right to select the messenger. . . . . . 9
D. A religious association conveys its message
not only through speech, but also the conduct
of its representatives. . . . . . . . . . . . . . . . . . . 14
E. The ministerial exception complements the
broad Title VII statutory exemption from
religious discrimination. . . . . . . . . . . . . . . . . 15
ii
II. THE 
MINISTERIAL 
EXCEPTION 
IS
POTENTIALLY 
RELEVANT 
TO 
OTHER
CLAIMS 
INVOLVING 
MINISTERIAL
EMPLOYEES.. . . . . . . . . . . . . . . . . . . . . . . . . . . 17
A. The ministerial exception may extend to
other 
aspects 
of 
the 
employment
relationship, including wage and hour
claims. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 17
B. The ministerial exception bars some breach
of contract claims. . . . . . . . . . . . . . . . . . . . . . 20
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 22
iii
",http://www.supremecourt.gov/DocketPDF/19/19-267/132492/20200210134450957_19-267%2019-348%20tsac%20ILF--PDFA.pdf,"CONCLUSION
This Court should reverse the two decisions of the
Ninth Circuit and clarify the scope of the ministerial
exception.",,,,jk4739
scotus_filing_37527,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF THE AMICI CURIAE . . . . . . . . . . . 1
SUMMARY OF THE ARGUMENT. . . . . . . . . . . . . . 3
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
The Lower Court’s Rigid Application Of The
Ministerial Exception Threatens The First
Amendment Rights Of Jewish Organizations . . . 4
II. The First Amendment And This Court’s
Precedents Require A Qualitative Application Of
The Ministerial Exception . . . . . . . . . . . . . . . . . 10
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 17
ii
",http://www.supremecourt.gov/DocketPDF/19/19-267/132554/20200210164300159_19-267%2019-348%20Amici%20Brief%20The%20American%20Jewish%20Committee%20et%20al.pdf,"CONCLUSION
For the foregoing reasons, this Court should reverse
the decisions of the Ninth Circuit.
Respectfully submitted,
STEVEN B. FEIRSON
MICAH BROWN
DECHERT LLP
Cira Centre 
2929 Arch Street 
Philadelphia, PA 19104
(215) 994-4000
MICHAEL H. MCGINLEY
  Counsel of Record
DECHERT LLP
1900 K Street, NW
Washington, DC 200",,,,jk4739
scotus_filing_37529,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF AMICUS CURIAE . . . . . . . . . . . . . . 1
SUMMARY OF ARGUMENT . . . . . . . . . . . . . . . . . . 1
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
The Free Exercise Clause Protects Not Only
the Right of Conscience, but Also the Right to
Religious Autonomy. . . . . . . . . . . . . . . . . . . . . 4
II.
The Establishment Clause Also Protects
Religious Autonomy by Guarding Against
State Control of How Religious Organizations
Operate . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6
III.
The Ministerial Exception Is Grounded
Primarily in the Right to Religious Autonomy
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8
IV.
Because of the Purpose of the Ministerial
Exception, a Minister Must Be Defined by
Virtue of Religious Functions . . . . . . . . . . . . . 9
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
ii
",http://www.supremecourt.gov/DocketPDF/19/19-267/132471/20200210123743401_19-267%2019-348%20FLI%20Morrissey-Berru%20Amicus.pdf,"CONCLUSION
For these reasons, the Court should reverse the
Ninth Circuit decisions below.
Respectfully submitted,
KE",,,,jk4739
scotus_filing_37539,"TABLE OF CONTENTS 
Page 
Interest of the United States....................................................... 1 
Statement ...................................................................................... 2 
Summary of argument ................................................................. 7 
Argument ....................................................................................... 9 
A. 
The First Amendment prohibits governmental 
interference with ecclesiastical appointments .......... 10 
B. 
The ministerial exception extends to any 
employee of a religious organization who 
performs an important religious function ................. 13 
1. 
Hosanna-Tabor recognized a ministerial 
exception grounded in the Religion Clauses’ 
special solicitude for religious functionaries ..... 15 
2. 
The ministerial exception applies when an 
employee’s job duties or other facts show 
that the employee performs an important 
religious function .................................................. 16 
C. 
The ministerial exception bars respondents’ 
employment-discrimination claims ............................ 22 
D. 
The counterarguments advanced by the court  
of appeals and respondents lack merit ...................... 26 
Conclusion ................................................................................... 35 
",http://www.supremecourt.gov/DocketPDF/19/19-267/132688/20200211161548810_19-26719-348tsacUnitedStates.pdf,"CONCLUSION 
The judgments of the court of appeals should be  
reversed. 
Respectfully submitted. 
SHAR",,,,jk4739
scotus_filing_37551,"TABLE OF CONTENTS 
Page 
i 
TABLE OF AUTHORITIES .................................  
ii 
INTEREST OF THE AMICI CURIAE .................  
1 
SUMMARY OF ARGUMENT ..............................  
1 
ARGUMENT ........................................................  
4 
 
I.   Federal and state civil rights laws provide 
important protections for employees .........  
4 
 II.   Application of the ADA and ADEA’s anti-
discrimination provisions to these cases 
does not violate the First Amendment ......  15 
 III.   The approach advocated by petitioners 
and 
the 
federal 
government 
would 
undermine workplace anti-discrimination 
protections .................................................  33 
CONCLUSION .....................................................  36 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-267/137833/20200311142423697_2020%2003%2011%20Amicus%20Brief%20of%20Virginia%20et%20al%20ISO%20Respondents.pdf,"CONCLUSION 
 
The judgments of the court of appeals should be 
afﬁrmed. 
 
Respectfully submitted. 
MARK R. HERRING 
 Attorney General 
KEONNA CARTER AUSTIN 
SAMUEL T. TOWELL 
 Deputy Attorneys General 
 
 
 
 
 
 
 
 
 
 
March 11, 2020 
TOBY J. HEYTENS 
 Solicitor General  
  Counsel of Record 
MARTINE E. CICCONI 
MICHELLE S. KALLEN  
 Deputy Solicitors General 
JESSICA MERRY SAMUELS 
 Assistant Solicitor General  
ZACHARY R. G",,,,jk4739
