Filing Name,Extracted Table of Contents,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_39996,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ...................................... ii 
INTEREST OF AMICUS CURIAE ............................ 1 
SUMMARY OF ARGUMENT ..................................... 3 
ARGUMENT ............................................................... 5 
I. 
The FTC Has Increasingly Wielded 
Section 13(b) To Obtain Monetary Relief 
In Antitrust Cases ................................................ 5 
II. The FTC’s Antitrust Authority Confirms 
That Section 13(b) Does Not Authorize 
Monetary Relief .................................................. 22 
CONCLUSION .......................................................... 32 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-508/156631/20201002131725210_2020-10-02%20Surescripts%20Amicus%20Br%20in%2019-508%20and%2019-825.pdf,"CONCLUSION 
For the foregoing reasons, the judgment of the 
court of appeals in No. 19-508 should be reversed, and 
the judgment of the court of appeals in No. 19-825 
should be affirmed. 
 
Respectfully submitted, 
ALFR",,,,jn2808
scotus_filing_39998,"TABLE OF CONTENTS 
 
Interest of Amici Curiae ........................................... 1 
Summary of Argument ............................................. 3 
Argument .................................................................. 6 
I. 
This Court Should Bring Certainty to 
Businesses by Rejecting the FTC’s Assertion 
of Authority to Seek Monetary Awards Under 
Section 13(b) ................................................... 6 
A. 
The FTC Has Increasingly Sought Monetary 
Relief Under Section 13(b), Amplifying Its 
Effect on Businesses ...................................... 6 
B. 
The FTC’s Failure to Provide Businesses with 
Fair Notice of Prohibited Conduct Before 
Seeking Monetary Sanctions Chills 
Commerce ..................................................... 11 
II. 
This Court Should Construe Section 13(b) 
According To Its Plain Language, Which 
Authorizes Only Injunctive Relief. .............. 14 
Conclusion .............................................................. 18 
 
II 
 
",http://www.supremecourt.gov/DocketPDF/19/19-508/156629/20201002130714167_19-508_19-825%20Chamber%20Of%20Commerce%20Amicus.pdf,"CONCLUSION 
For the foregoing reasons, the Court should hold 
that Section 13(b) of the FTC Act does not authorize 
the FTC to seek restitution, disgorgement, or any 
other form of retrospective monetary relief. 
Respectfully submitted, 
 
DARYL JOSEFFER 
TARA S. MORRISSEY 
U.S. CHAMBER  
LITIGATION CENTER 
1615 H Street NW 
Washington, DC 20062 
(202) 463-5337 
Counsel for the Chamber 
of Commerce of the United 
States of America 
 
 
STEPHANIE A. MARTZ 
NATIONAL RETAIL 
FEDERATION 
1101 New York Ave. 
Suite 1200 
Washington, DC 20005 
(202) 626-8106 
ILANA H. EISENSTEIN 
     Counsel of",,,,jn2808
scotus_filing_40001,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF AMICUS CURIAE ............................ 1 
INTRODUCTION 
AND 
SUMMARY 
OF 
ARGUMENT ........................................................ 2 
ARGUMENT ............................................................... 3 
I. 
THE 
FTC’S 
UNRESTRAINED 
INTERPRETATION OF SECTION 13(B) 
IMPOSES SUBSTANTIAL COSTS ON 
LEGITIMATE 
COMPANIES 
AND 
DETERS 
LAWFUL 
COMPETITIVE 
BEHAVIOR .......................................................... 3 
II. 
THE 
STATUTORY 
SCHEME 
ESTABLISHED 
BY 
CONGRESS 
IS 
SUFFICIENT 
TO 
ADDRESS 
THE 
GOVERNMENT’S 
ENFORCEMENT 
CONCERNS ....................................................... 11 
CONCLUSION .......................................................... 16 
 
 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-508/156634/20201002132209247_Amicus%20Brief%20-%20PhRMA.pdf,"CONCLUSION 
For the foregoing reasons, as well as those reasons 
set forth in the non-governmental parties’ briefs, the 
Ninth Circuit’s judgment in AMG Capital Manage-
ment should be reversed, and the Seventh Circuit’s 
judgment in Credit Bureau Center should be affirmed. 
 
 
 
 
Melissa B. Kimmel 
David E. Korn 
PHARMACEUTICAL  
RESEARCH AND  
MANUFACTURERS OF  
AMERICA 
950 F Street, NW 
Washington, DC 20004 
(202) 835-3400 
 
  Respectfully submitted,",,,,jn2808
scotus_filing_40003,"TABLE OF CONTENTS 
 
Page 
 
TABLE OF AUTHORITIES ...................................... iii 
 
INTEREST OF AMICUS ............................................ 1 
 
SUMMARY OF ARGUMENT .................................... 2 
 
ARGUMENT ............................................................... 4 
 
I. 
SECTION 
13(b) 
OF 
THE 
FTC  
ACT 
DOES 
NOT 
AUTHORIZE 
MONETARY RELIEF ................................. 4 
 
A. 
Section 13(b) Authorizes a 
“Permanent 
Injunction,” 
but Injunctions Do Not En-
compass Monetary Relief ........... 6 
 
B. 
Congress Has Not Acqui-
esced to Lower-Court Deci-
sions Accepting FTC’s In-
terpretation 
of 
Section 
13(b) .......................................... 12 
 
C. 
“Ancillary” Relief Does Not 
Support the FTC’s As-
serted Power to Obtain Mil-
lions of Dollars by Injunc-
tion ............................................ 14 
 
 
ii 
II. 
THE FTC OBTAINED ITS PRESENT 
“EQUITABLE” 
POWERS 
BY 
A 
CAREFUL STRATAGEM OF AVOIDING 
TEXTUAL 
OR 
ORIGINALIST 
EXAMINATIONS OF ITS CLAIM TO 
THEM .................................................... 18 
 
A. 
The FTC Followed the 
SEC’s Lead to Grab Powers 
Not Granted to It by Con-
gress and to Avoid the Pro-
cedures Congress Provided 
for Awards of Equitable Re-
lief .............................................. 18 
 
B. 
The FTC’s Tactics Leave 
Its Targets without Due 
Process Protections and, 
Often without Adequate 
Counsel...................................... 22 
 
III. 
THE 
MONEY 
DAMAGES 
HERE 
AWARDED ARE LEGAL DAMAGES, 
NOT EQUITABLE RELIEF, AND TO 
AVOID CONSTITUTIONAL DANGERS 
THE COURT SHOULD REJECT THE 
FTC’S ARGUMENTS ............................... 23 
 
IV. 
RULING 
AGAINST 
THE 
FTC  
HERE COMPORTS 
WITH OTHER 
PRECEDENTS OF THE COURT ................. 26 
 
CONCLUSION ......................................................... 27 
 
 
iii 
",http://www.supremecourt.gov/DocketPDF/19/19-508/156656/20201002150915902_19-508%20Amicus%20Curiae%20Brief.pdf,"CONCLUSION 
 
 
The judgment of the court of appeals in No. 19-
508 should be reversed.  The judgment of the court of 
appeals in No. 19-825 should be affirmed.  
 
Respectfully Submitted,",,,,jn2808
scotus_filing_40195,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES .......................................... iii 
INTEREST OF AMICI...................................................... 1 
SUMMARY OF ARGUMENT ......................................... 2 
ARGUMENT ....................................................................... 4 
I. 
The Framers Intended Each Elector To 
Exercise Independent Judgment. ..................... 4 
A. The Federalist Papers and Other 
Contemporaneous Evidence Establish 
That the Framers Intended Each 
Elector to Exercise Independent 
Judgment. ........................................................ 4 
B. Contemporaneous State Constitutional 
Provisions Modeled and Reflected 
Elector Independence. ................................... 7 
II. Congress Has Consistently Recognized 
and Maintained Elector Independence. .......... 9 
A. The Twelfth Amendment Was Adopted 
to Prevent Strategic Partisan Voting 
Without Limiting Elector 
Independence. ................................................. 9 
1. The 1796 and 1800 elections .................... 10 
2. Congress did not consider limiting 
elector independence as a response 
to concerns about the early 
elections. ................................................. 13 
- ii - 
B. The Deliberations and Actions of 
Subsequent Congresses Have 
Consistently Recognized Elector 
Independence. ............................................... 18 
C. Congress Understood That State 
Legislatures Lacked the Power to 
Prevent an Elector From Exercising 
Independent Judgment When It 
Approved and Implemented the 
Twenty-Third Amendment. ......................... 22 
III. Congress Has Never Failed to Count an 
Anomalous Electoral Vote. .............................. 26 
CONCLUSION .................................................................. 30 
- iii - 
",http://www.supremecourt.gov/DocketPDF/19/19-518/138013/20200312163210407_Rosin%20brief.pdf,"CONCLUSION 
In sum, the historical record confirms that, under 
our constitutional framework, each elector is free to vote 
as he or she chooses. Therefore, this Court should reverse 
in Chiafalo and affirm in Baca. 
 
 
 
 
 
 
 
 
 
 
 
Respectfully submitted. 
 
PETER K. STRIS 
MICHAEL N. DONOFRIO 
Counsel of Record 
BRIDGET C. ASAY 
STRIS & MAHER LLP 
777 S. Figueroa St., Ste. 3850 
Los Angeles, CA 90017 
(802) 858-4465 (direct) 
(213) 995-6800 
michael.donofrio@strismaher.com 
 
Counsel for Amici Curiae 
 
MARCH 6, 2020",,,,jn2808
scotus_filing_40199,"TABLE OF CONTENTS 
 
INTERESTS OF AMICUS .............................................. 1 
SUMMARY OF ARGUMENT ......................................... 1 
ARGUMENT ....................................................................... 5 
I. 
THE ELECTORAL COLLEGE 
WAS 
A 
COMPROMISE 
TO 
WHICH 
ELECTOR 
INDEPENDENCE 
WAS 
CRUCIAL .................................................... 5 
A. 
The 
Convention 
Debates 
Reveal 
That 
Elector 
Autonomy Was Key to the 
Electoral 
College 
Compromise...................................... 6 
B. 
The 
Ratification 
Debates 
Highlighted 
Elector 
Autonomy 
to 
Sell 
the 
Electoral College ........................... 10 
II. 
ELECTORS 
EXHIBITED 
AUTONOMY IN THE EARLY 
REPUBLIC ............................................... 14 
A. 
Originalist Electors Voted 
Without Party Pressure ............... 15 
B. 
Autonomous 
Electors 
Scattered Vice-Presidential 
Votes 
to 
Help 
Their 
Presidential Nominees .................. 16 
ii 
 
 
C. 
Faithless Electors Emerged 
by 1796............................................. 19 
III. 
THE TWELFTH AMENDMENT 
DID NOT AFFECT ELECTORS’ 
AUTONOMY ............................................. 21 
A. 
Vote-Scattering Failure and 
the Prospect of Minority 
Rule Spurred the Twelfth 
Amendment .................................... 21 
B. 
The Twelfth Amendment 
Congress 
Recognized 
Elector 
Autonomy 
But 
Sought 
Only 
Ballot 
Designation ..................................... 23 
i. The House Debate ................... 24 
ii. The Senate Debate .................. 26 
iii. Debate 
Returns 
to 
the 
House ......................................... 28 
C. 
The Twelfth Amendment’s 
Text Does Not Authorize 
Interference with Elector 
Autonomy ....................................... 31 
CONCLUSION ................................................................. 33 
 
 
 
 
iii 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-518/137999/20200312153503846_Prof%20Foley%20brief.pdf,"CONCLUSION 
Electors’ independence did not arise, or endure, by 
chance. It was critical to the compromise that secured 
the Constitution’s passage, and it was well-known to 
those who crafted the Twelfth Amendment. At the 
Founding, the Framers carefully considered arguments 
that electors should not be deliberative, and they 
carefully calibrated electors’ independence from the 
states (on one hand) and the people (on the other). The 
Twelfth Amendment debates recognized, and did not 
disturb, this independence.  
 
MARCH 9, 2020 
Respectfully submitted, 
 
 
 
 
 
 
JESSICA RING AMUNSON 
Counsel of Record 
ZACHARY C. SCHAUF 
NOAH B.",,,,jn2808
scotus_filing_40224,"TABLE OF CONTENTS 
Page 
INTEREST OF AMICI CURIAE .........................  
1 
SUMMARY OF ARGUMENT ..............................  
3 
ARGUMENT ........................................................  
4 
 A.   Binding Electors Is Textually And Histor-
ically Consistent With The States’ Broad 
Constitutional Appointment Powers Un-
der Article II, Section 1 .............................  
5 
 B.   The Baca Court Interpreted The States’ 
Role And Powers Under Article II, Section 
1 Too Restrictively .....................................  13 
CONCLUSION .....................................................  26 
 
iii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-518/141191/20200408154330623_Colorado%20Brief.pdf,"CONCLUSION 
 
This Court should reverse the Tenth Circuit’s 
Baca decision and afﬁrm the decision of the Washing-
ton Supreme Court in Chiafalo. 
 
Respectfully submitted this 8th day of April 2020. 
JASON R. RAVNSBORG 
Attorney General 
PAUL S. SWEDLUND 
Assistant Attorney General 
OFFICE OF THE ATTORNEY GENERAL 
STATE OF SOUTH DAKOTA 
1302 East Highway 14, Suite 1 
Pierre, South Dakota 57501-8501 
605-773-3215 
paul.swedlund@state.sd.us",,,,jn2808
scotus_filing_40227,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES .................................  
ii 
INTERESTS OF AMICI CURIAE .......................  
1 
INTRODUCTION 
AND 
 
SUMMARY 
OF 
ARGUMENT ....................................................  
2 
ARGUMENT .........................................................  
5 
I. THE STATES’ PLENARY APPOINTMENT 
POWER INCLUDES THE ABILITY TO 
PLACE 
EX 
ANTE 
CONDITIONS 
ON 
ELECTOR APPOINTMENTS. .......................  
5 
A. A Legally Mandated Pledge To Follow The 
State’s Popular Vote Is A Condition Of An 
Elector’s Appointment. ..............................  
6 
B. Enforcing An Elector’s Pledge Is A Valid 
Exercise Of The State’s Appointment 
Authority. ...................................................  
10 
II. STATE AND FEDERAL LAW ARE NOT 
EQUIPPED 
TO 
HANDLE 
UNBOUND 
ELECTORS. .....................................................  
13 
A. Unbinding Electors Would Require States 
To Radically Rework Their Electoral 
Processes And Would Undermine Estab-
lished Election Laws And Practices. .........  
14 
B. Current Federal Law Does Not Address 
Significant Opportunities For Corruption 
If Electors Are Unbound. ...........................  
21 
III.ANY 
RULING 
FOR 
THE 
ELECTORS 
SHOULD NOT TAKE EFFECT UNTIL 
AFTER THE 2020 ELECTION. ......................  
26 
CONCLUSION .....................................................  
28 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-518/141111/20200408124912800_Campaign%20Legal%20Center%20and%20Issue%20One%20Amicus.pdf,"CONCLUSION 
For these reasons, the Court should affirm the 
Washington Supreme Court in No. 19-465 and reverse 
the Tenth Circuit in No. 19-518.  
 
 
 
 
 
     Respectfully submitted,  
 
PAUL M. SMITH 
ADAV NOTI 
DAVID KOLKER 
CAMPAIGN LEGAL CENTER 
1101 14th Street, N.W. 
Suite 400 
Washington, D.C. 20005 
TOBIAS S. LOSS-EATON * 
JOHN L. GIBBONS 
CODY L. REAVES 
SIDLEY AUSTIN LLP 
1501 K Street, N.W. 
Washington, D.C. 20005 
(202) 736-8000 
tlosseaton@sidley.com 
Counsel for Amici Curiae 
April 8, 2020   
 
    * Counsel of Record",,,,jn2808
scotus_filing_41163,"TABLE OF CONTENTS
TABLE OF AUTHORITIES . . . . . . . . . . . . . . . . . . iii
AMICUS 
BRIEF 
OF 
CHRISTIAN 
FAMILY
COALITION 
(CFC) 
FLORIDA, 
INC., 
A
FLORIDA NOT-FOR-PROFIT CORPORATION
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
INTEREST OF THE AMICUS . . . . . . . . . . . . . . . . . 1
SUMMARY OF ARGUMENT . . . . . . . . . . . . . . . . . . 2
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
I.
The Subpoenas Should Be Quashed Because of
the Plausible Risk They Will Cause Serious
Distraction and Diversion From Presidential
Duties . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
a. Any Competent Attorney Would Recognize
The Implications of These Broad-Ranging
Subpoenas and Would Demand The Client’s
Immediate 
and 
Ongoing 
Attention 
–
Confirming Their Serious and Ongoing
Distraction . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6
b. The Virtually Limitless Scope of the Present
Subpoenas Distinguishes Them From the
Narrow and Discrete Incursions This Court
Has Permitted Into the Presidential Sphere . 7
c. The Rationales Employed by the Second and
D.C. Circuits are  Misplaced . . . . . . . . . . . . . . 9
ii
d. This Court Has Recognized the Need for
Complete Presidential Immunity To Prevent
the Type of Distraction These Subpoenas
Portend. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 12
e. The Present Subpoenas Violate the Spirit of
Article II and Undermine a Significant
Aspect of the 2016 Presidential Election . . . 14
f.
The Issue Raised by the Petitions is Not a
Partisan 
or 
Political 
Issue, 
But 
an
Institutional Issue Upon Which the Integrity
of the Presidential Office Depends . . . . . . . . 15
II. In 19-635, The Subpoena Should Be Quashed
Also Because State and Local Authorities May
Not 
Issue 
Process 
Which 
Impairs 
The
President’s Ability to Perform His Official
Duties . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 16
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 18
iii
",http://www.supremecourt.gov/DocketPDF/19/19-635/130818/20200203165536133_19-635%2019-715%2019-760%20tsac%20CFC--PFDA.pdf,"CONCLUSION
It bears emphasis that the impermissibility of the
State court subpoena in 19-635 is merely an
additional reason to quash the subpoena in that
particular case. The primary reason, discussed above,
remains and applies in all 3 cases under review: The
subpoenas are not confined to the type of discrete and
limited intrusion into the Presidential function allowed
in Clinton v. Jones or U.S. v. Nixon but instead
constitute wide-ranging, virtually limitless and
blunderbuss commands for production of documents
that trigger a plausible risk of serious Presidential
distraction and diversion of energy and focus that will
impair the ability of the President to perform his
official duties.
The subpoenas contravene Article II of the
Constitution. This Court should reverse the judgments
of the Second and D.C. Circuits and order entry of the
injunctions the President requests.",,,,jn2808
scotus_filing_41579,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ........................................ii 
INTEREST OF AMICUS CURIAE ............................ 1 
SUMMARY OF ARGUMENT ..................................... 3 
ARGUMENT................................................................ 5 
I. 
The Eleventh Circuit erred. ........................... 5 
A. The Eleventh Circuit did not follow 
this 
Court’s 
directions 
and 
departed from precedent .......................... 5 
B. The Eleventh Circuit’s “logical-
bond” test undermines the purpose 
of 
the 
proximate-cause 
requirement .............................................. 8 
C. The Eleventh Circuit’s embrace of 
statistical 
modeling 
to 
prove 
liability for individual injuries is 
wrong ...................................................... 11 
II. This case is exceptionally important 
because the proximate-cause issue it 
raises applies to numerous federal 
statutes ......................................................... 19 
CONCLUSION .......................................................... 21 
 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-688/126741/20191226144608765_DRI%20BoA%20Wells%20Fargo%20Amicus%20Brief%20.pdf,"CONCLUSION 
For the foregoing reasons, the petitions for 
certiorari should be granted.",,,,jn2808
