Filing Name,Extracted Table of Contents,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_6201,"TABLE OF CONTENTS 
QUESTIONS PRESENTED ........................................................................................... i 
PARTIES TO THE PROCEEDING .............................................................................. ii 
CORPORATE DISCLOSURE STATEMENT ............................................................... ii 
RELATED PROCEEDINGS BELOW .......................................................................... iii 
TO THE HONORABLE AMY CONEY BARRETT, ASSOCIATE JUSTICE 
OF THE SUPREME COURT AND CIRCUIT JUSTICE FOR THE 
SEVENTH CIRCUIT: .................................................................................................... 1 
JURISDICTION ............................................................................................................. 8 
STATEMENT OF THE CASE ....................................................................................... 9 
REASONS FOR GRANTING THE APPLICATION .................................................. 11 
I.
The Circumstances Presented Are Critical and Exigent ...................... 12 
A.
Irreparable Harm and Severe Negative Impact to
Land, Historical Characteristics of Jackson Park,
and Wildlife .................................................................................. 12 
1. Trees ....................................................................................... 13 
2. Migratory Birds ...................................................................... 19 
B.       Irreparable Harm to the Use and Enjoyment of the Public ....... 22 
1.
Road Construction and Traffic Patterns .......................... 23 
II.
The Legal Rights at Issue Are Indisputably Clear Due to Respondents’
Substantive and Procedural Violations of Section 4(f), Section 106, and
NEPA ...................................................................................................... 26 
A.
Respondents’ Segmentation of the OPC Project Was
Improper ...................................................................................... 26 
B.
Respondents Should Have Conducted an EIS ............................ 31 
v 
 
III. 
Injunctive Relief Is Necessary or Appropriate in Aid of the Court’s 
Jurisdiction ............................................................................................. 35 
 
CONCLUSION ............................................................................................................. 37 
 
 
vi 
 
",http://www.supremecourt.gov/DocketPDF/21/21A22/187730/20210817152715798_Emergency%20Application%20for%20Writ%20of%20Injuction.pdf,"Conclusion  
For the reasons stated above, this Court denied Plaintiffs’ motion for 
preliminary injunction [30] by prior minute order [83].  
Dated: August 12, 2021 
 
 
 
 
 
Entered: 
 
 
 
 
 
 
 
 
 
 
_________________________________ 
 
 
 
 
 
 
 
John Robert Blakey 
 
 
 
 
 
 
 
United States District Judge 
 
 
Case: 1:21-cv-02006 Document #: 94 Filed: 08/12/21 Page 49 of 49 PageID #:6984
",,,,yc4152
scotus_filing_6339,"TABLE OF CONTENTS 
 
INTERESTS OF AMICI CURIAE ................................................................................ 1 
 
SUMMARY OF THE ARGUMENT .............................................................................. 3 
 
ARGUMENT .................................................................................................................. 5 
 
I. 
The Court Must Not Permit Texas to Flout Precedent With Its 
Unconstitutional Abortion Ban. ................................................................................ 5 
 
A. S.B. 8 is per se unconstitutional. .................................................................... 6 
 
B. Texas’s private enforcement mechanism does not shield such brazen 
disrespect for the Constitution from judicial review. ............................................ 9 
 
II. Emergency Relief is Essential to Stanch the Irreparable Harms Being 
Inflicted by Texas’s Unconstitutional Ban. ............................................................. 15 
 
CONCLUSION ............................................................................................................. 22 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
ii 
",http://www.supremecourt.gov/DocketPDF/21/21A85/196697/20211018145558016_U.S.%20v.%20Texas%20--%20motion%20for%20permission%20to%20file%20and%20brief%20--%202021.10.18.pdf,"CONCLUSION 
 
The Court should vacate the Fifth Circuit’s stay of the district court’s order 
enjoining S.B. 8’s enforcement. 
      
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
20 See, e.g., Rachel Benson Gold, Lessons from Before Roe: Will Past Be Prologue?, The 
Guttmacher Institute Report on Public Policy 10  (March 2003), https://tinyurl.com/yw7r2kev (“The 
year before the Supreme Court’s decision in Roe v. Wade, just over 100,000 women left their own 
state to obtain a legal abortion in New York City. According to an analysis by The Alan Guttmacher 
Institute, an estimated 50,000 women traveled more than 500 miles to obtain a legal abortion in 
New York City; nearly 7,000 women traveled more than 1,000 miles, and some 250 traveled more 
than 2,000 miles, from places as far as Arizona, Idaho and Nevada.”). 
",,,,yc4152
scotus_filing_6643,"TABLE OF CONTENTS 
TABLE OF AUTHORITIES ....................................... ii 
STATEMENT OF INTEREST .................................... 1 
INTRODUCTION AND SUMMARY OF 
ARGUMENT ............................................................... 2 
ARGUMENT ............................................................... 5 
I. 
The D.C. Circuit erred by construing the 
objectives of the Medicaid program far too 
narrowly................................................................ 5 
II. Work and community engagement promote  
good health, well-being, and self-sufficiency 
and help transition individuals off public 
assistance programs. .......................................... 11 
A. Extensive research shows the benefits of 
work and community engagement 
requirements in connection with public 
assistance programs. ................................... 13 
B. Pilot programs like Arkansas’ are even  
more imperative given the severe impact 
that Medicaid spending is having on state 
and federal budgets. .................................... 16 
C. Arkansas’ pilot program reflects good  
policy based on sound research and has 
already produced impressive results. ......... 24 
III. The COVID-19 pandemic and economic 
contraction further underscore the importance  
of pilot programs like Arkansas’. ....................... 25 
CONCLUSION .......................................................... 29 
ii 
 
 
",http://www.supremecourt.gov/DocketPDF/20/20-37/167228/20210126123908694_20-37%2020-38%20tsac%20Foundation%20for%20Government%20Accountability.pdf,"CONCLUSION 
For the foregoing reasons, the Court should 
reverse the decision below.  
",,,,yc4152
scotus_filing_6652,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ............................................... ii 
INTEREST OF AMICUS CURIAE .................................... 1 
SUMMARY OF ARGUMENT ............................................ 2 
ARGUMENT ...................................................................... 3 
I. Contrary To The Purposes Of Medicaid, The HHA 
Program, Like The New Hampshire And Arkansas 
Programs, Removes Coverage Of Important Benefits. 3 
A. 
Nebraska Designed The HHA Program To 
Remove Coverage Of Important Benefits. .......... 3 
B. 
Nebraska Mischaracterizes Prime-Only Benefits 
As Additional Benefits ......................................... 4 
C. 
Nebraska’s Own Projections Show Coverage 
Losses. .................................................................. 5 
II. An Opinion From This Court Affirming Nebraska’s 
HHA Program Would Be Advisory. ............................. 6 
A. 
This Court Cannot Properly Address Nebraska’s 
HHA Program Because The Administrative 
Record Of The Program’s Approval Is Not Before 
This Court. ........................................................... 7 
B. 
Significant Recent Events Make Reliance On The 
Secretary’s Approval of the HHA Program 
Inappropriate. ...................................................... 9 
CONCLUSION ................................................................. 11 
 
 
 
ii 
 
 
",http://www.supremecourt.gov/DocketPDF/20/20-37/169732/20210223141045362_Appleseed%20Amicus%20PDFA.pdf,"CONCLUSION 
By design, Nebraska’s HHA Program, like the New 
Hampshire and Arkansas work requirements pro-
grams, removes coverage of important benefits con-
trary to the purposes of Medicaid. Additionally, an 
opinion from this Court addressing the HHA Program 
would be advisory, as the administrative record is not 
before this Court, and significant recent events have 
called into question the Secretary’s approval of the 
HHA Program. The judgments below should be af-
firmed.  
 
Respectfully submitted. 
Stinson LLP 
Jaclyn Niccole Warr 
  Counsel of Record 
7700 Forsyth Blvd., Suite 1100 
Clayton, MO 63122 
(314) 529-4570 
nicci.warr@stinson.com 
 
Kalissa Holdcraft  
1299 Farnam St., Suite 1500 
Omaha, NE 68102 
 
Nebraska Appleseed 
Robert McEwen 
Molly McCleery 
Sarah Maresh 
PO Box 83613 
Lincoln, NE 68501-3613  
February 2021 
Counsel for Amicus Curiae 
",,,,yc4152
scotus_filing_6657,"TABLE OF CONTENTS  
Page 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF THE AMICI CURIAE ....................... 1 
SUMMARY OF THE ARGUMENT ........................... 2 
ARGUMENT ............................................................... 5 
I. 
HHS Arbitrarily and Capriciously Failed 
to Consider the Loss of Medicaid Coverage 
to the Impacted Groups, Particularly 
Women of Color. ............................................... 5 
II. The Impacted Groups, Especially Women 
of Color, Disproportionately Rely on Medi-
caid Coverage, Which Benefits Their 
Health and Economic Stability. ....................... 7 
III. Work Requirements Will Result in Loss in 
Coverage For the Impacted Groups, Par-
ticularly Among Women of Color, Threat-
ening Their Health and Economic Secu-
rity. ................................................................. 22 
CONCLUSION ......................................................... 33 
APPENDIX ............................................................... 1a 
ii 
 
",http://www.supremecourt.gov/DocketPDF/20/20-37/169932/20210224214034906_20-37%20NWLC%20Lawyers%20Committee%20et%20al%20Amici%20Curiae%20Brief.pdf,"CONCLUSION 
 
The Secretary’s failure to consider how approval of 
the demonstration projects would affect health cover-
age for Medicaid recipients renders the approvals ar-
bitrary and capricious. The disproportionate rates that 
the Impacted Groups, and in particular women of 
color, rely on Medicaid for health coverage makes 
these approvals particularly harmful for these commu-
nities. The decision below should be affirmed.   
 
 
 
",,,,yc4152
scotus_filing_6663,"TABLE OF CONTENTS
Page
TABLE OF AUTHORITIES.......................................ii
INTEREST OF AMICI CURIAE ............................... 1
SUMMARY OF ARGUMENT.................................... 4
ARGUMENT............................................................... 6
I.
Medicaid Expansion Vastly Improves The
Lives Of Millions Of Older Adults And
People With Disabilities And Chronic
Conditions Because It Gives Them Access
To Health Care Coverage................................... 6
II.
Restoring The Granite Advantage And
Arkansas Works Amendment Programs
Will Cause Thousands Of Vulnerable
People To Lose Their Health Care Coverage. . 19
A. Labelling the expansion population
as “able-bodied” ignores the many
people in the population who have
chronic conditions and functional
limitations.................................................. 22
B. Foreseeable administrative barriers
will exacerbate coverage losses and
magnify the Programs’ unfairness
and harm.................................................... 27
CONCLUSION ......................................................... 31
ii
",http://www.supremecourt.gov/DocketPDF/20/20-37/169981/20210225113834411_20-37%20-38%20bsac%20AARP%20FINAL%20AMICI%20BRIEF.pdf,"CONCLUSION
The
Secretary
of
HHS’s
approvals
of
the
Arkansas and New Hampshire waiver programs were
arbitrary and capricious. If allowed to go forward,
these programs would deliver a crushing blow to low-
income adults in Arkansas and New Hampshire,
leaving
tens
of
thousands
without
health
care
coverage. As that result flouts the objectives of the
Medicaid program, Amici respectfully request that
this Court affirm the District of Columbia Circuit’s
judgments. In the alternative, Amici request that this
Court grant the Federal Petitioners’ motion to vacate
the judgments below and remand with instructions
that the approvals be remanded to HHS.
Respectfully submitted,
AARP Foundation
Maame Gyamfi
601 E. Street, NW
Counsel of Record
Washington D.C. 20049
William Alvarado Rivera
Kelly Bagby
mgyamfi@aarp.org
(202) 434-6291
Counsel for Amici Curiae
",,,,yc4152
scotus_filing_6666,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ....................................... ii 
INTEREST OF AMICI CURIAE ................................ 1 
INTRODUCTION ....................................................... 2 
SUMMARY OF ARGUMENT .................................... 5 
ARGUMENT ............................................................... 7 
I.   THE SECRETARY IGNORED ROBUST  
EVIDENCE THAT WORK REQUIRE-
MENTS WOULD NEITHER INCREASE 
COVERAGE NOR IMPROVE HEALTH 
OUTCOMES ..................................................... 7 
A. Administrative Burdens Undermine 
Enrollment And Retention ......................... 8 
B. Work Requirements Impose Severe 
Administrative Burdens On Enrol-
lees, Leading To Coverage Loss ............... 17 
C. The Secretary Failed To Address  
Evidence That Coverage Losses Can 
Result In Disruptions Of Care And 
Adverse Health Outcomes Without 
Increasing Employment ........................... 21 
D. The Secretary Ignored Accumulating 
Evidence That The Medicaid Work 
Requirements Cause Coverage Loss ........ 24 
II. THE SECRETARY’S EVIDENCE DID 
NOT SUPPORT HIS DECISIONS ................ 26 
CONCLUSION .......................................................... 30 
 
ii 
",http://www.supremecourt.gov/DocketPDF/20/20-37/170045/20210225153315084_bsac20-37%2020-38LeukemiaLymphomaSocy.pdf,"CONCLUSION 
The judgment of the court of appeals should be 
affirmed. 
",,,,yc4152
scotus_filing_6672,"TABLE OF CONTENTS 
Page 
I. 
These cases no longer present a suitable context to 
address the question presented ..................................... 3 
II. If the Court considers the merits, it should clarify 
that the Secretary has authority to approve 
demonstration projects to test measures that 
indirectly advance Medicaid’s objective of 
providing health-care coverage .................................... 12 
",http://www.supremecourt.gov/DocketPDF/20/20-37/172588/20210322144746881_20-37rbUnitedStates.pdf,"conclusions—are in accord.   
B. The court of appeals’ opinion in Gresham, how-
ever, suggested an additional restriction, not grounded 
in the statutory text or context, on the manner in which 
the Secretary may evaluate a project’s potential to pro-
mote the goal of providing coverage.  The court stated 
that the “objectives of better health outcomes and ben-
eficiary independence are not consistent with Medi-
caid.”  Pet. App. 16a.  It further stated that the “one 
primary purpose” of Medicaid—and thus in the court’s 
view the only appropriate object of the Secretary’s anal-
ysis in deciding whether to approve a Section 1315 
",,,,yc4152
scotus_filing_6949,"TABLE OF CONTENTS 
QUESTIONS PRESENTED ......................................... i 
RULE 29.6 STATEMENT ........................................... ii 
TABLE OF AUTHORITIES ........................................ v 
INTRODUCTION ........................................................ 1 
STATEMENT OF THE CASE .................................... 2 
 
A. Legal background ............................................ 2 
 
B. The present controversy ................................. 5 
REASONS FOR DENYING THE WRIT .................. 11 
I. 
The Tenth Circuit’s holding that SUWA 
satisfies Rule 24(a)(2)’s interest requirement 
does not warrant review ..................................... 11 
 
A. No court of appeals has adopted the 
Government’s novel theory ........................... 11 
 
B. This case would be a poor vehicle for 
making broad law on intervention ............... 18 
 
C. The application of Rule 24(a)(2) in the 
specific context of R.S. 2477 litigation 
does not warrant review ............................... 21 
 
D. The Tenth Circuit’s decision is correct ........ 24 
 
 
1. The Tenth Circuit’s approach follows 
directly from the text of Rule 24(a)(2) ..... 24 
 
 
2. The Government’s test contradicts 
this Court’s precedents .......................... 27 
 
 
3. The Government’s test contradicts 
longstanding practice ............................. 28 
 
 
4. The Government’s remaining 
arguments lack merit ............................. 30 
iv 
II. The Tenth Circuit’s holding that the United 
States may not adequately represent SUWA’s 
interest does not warrant review ....................... 33 
CONCLUSION ........................................................... 35 
 
 
v 
",http://www.supremecourt.gov/DocketPDF/20/20-82/158892/20201027134154891_20-82%2020-96%20BriefInOpposition.pdf,"CONCLUSION  
For the foregoing reasons, the petitions for writs 
of certiorari should be denied. 
Respectfully submitted,  
Jeffrey L. Fisher 
Brian H. Fletcher 
Pamela S. Karlan 
STANFORD LAW SCHOOL 
   SUPREME COURT 
   LITIGATION CLINIC 
559 Nathan Abbott Way 
Stanford, CA 94305 
 
Chad R. Derum 
Trevor J. Lee 
MANNING CURTIS  
   BRADSHAW &  
   BEDNAR PLLC 
136 East South Temple,  
   Suite 1300 
Salt Lake City, UT 84111 
 
 
Stephen H.M. Bloch 
   Counsel of Record 
Michelle White 
SOUTHERN UTAH  
   WILDERNESS ALLIANCE 
425 East 100 South 
Salt Lake City, UT 84111 
801-486-3161 
steve@suwa.org 
 
October 27, 2020 
",,,,yc4152
scotus_filing_7017,"TABLE OF CONTENTS 
QUESTIONS PRESENTED ......................................... i 
RULE 29.6 STATEMENT ........................................... ii 
TABLE OF AUTHORITIES ........................................ v 
INTRODUCTION ........................................................ 1 
STATEMENT OF THE CASE .................................... 2 
 
A. Legal background ............................................ 2 
 
B. The present controversy ................................. 5 
REASONS FOR DENYING THE WRIT .................. 11 
I. 
The Tenth Circuit’s holding that SUWA 
satisfies Rule 24(a)(2)’s interest requirement 
does not warrant review ..................................... 11 
 
A. No court of appeals has adopted the 
Government’s novel theory ........................... 11 
 
B. This case would be a poor vehicle for 
making broad law on intervention ............... 18 
 
C. The application of Rule 24(a)(2) in the 
specific context of R.S. 2477 litigation 
does not warrant review ............................... 21 
 
D. The Tenth Circuit’s decision is correct ........ 24 
 
 
1. The Tenth Circuit’s approach follows 
directly from the text of Rule 24(a)(2) ..... 24 
 
 
2. The Government’s test contradicts 
this Court’s precedents .......................... 27 
 
 
3. The Government’s test contradicts 
longstanding practice ............................. 28 
 
 
4. The Government’s remaining 
arguments lack merit ............................. 30 
iv 
II. The Tenth Circuit’s holding that the United 
States may not adequately represent SUWA’s 
interest does not warrant review ....................... 33 
CONCLUSION ........................................................... 35 
 
 
v 
",http://www.supremecourt.gov/DocketPDF/20/20-96/158893/20201027134340161_20-82%2020-96%20BriefInOpposition.pdf,"CONCLUSION  
For the foregoing reasons, the petitions for writs 
of certiorari should be denied. 
Respectfully submitted,  
Jeffrey L. Fisher 
Brian H. Fletcher 
Pamela S. Karlan 
STANFORD LAW SCHOOL 
   SUPREME COURT 
   LITIGATION CLINIC 
559 Nathan Abbott Way 
Stanford, CA 94305 
 
Chad R. Derum 
Trevor J. Lee 
MANNING CURTIS  
   BRADSHAW &  
   BEDNAR PLLC 
136 East South Temple,  
   Suite 1300 
Salt Lake City, UT 84111 
 
 
Stephen H.M. Bloch 
   Counsel of Record 
Michelle White 
SOUTHERN UTAH  
   WILDERNESS ALLIANCE 
425 East 100 South 
Salt Lake City, UT 84111 
801-486-3161 
steve@suwa.org 
 
October 27, 2020 
",,,,yc4152
