Filing Name,Extracted Table of Contents,URL,Conclusion,proper_extraction,classification,salience-rating,annotator-uni
scotus_filing_42870,"TABLE OF CONTENTS 
Page 
STATEMENT OF INTEREST ................................... 1 
INTRODUCTION ...................................................... 2 
ARGUMENT .............................................................. 7 
I. 
INVALIDATING THE ENTIRETY OF 
THE ACA WOULD BE CATASTROPHIC 
TO 
THE 
WELFARE 
OF 
MEMBER 
PLANS AND THEIR ENROLLEES. ................ 7 
A.  Invalidating 
the 
ACA’s 
advance 
premium 
tax 
credit 
will 
cause 
millions, including many of Member 
Plans’ enrollees, to lose coverage. ............... 9 
B.  Invalidating 
the 
ACA’s 
coverage 
requirements for persons with pre-
existing conditions puts the healthcare 
of the nation’s most vulnerable at risk. .... 12 
C.  Invalidating 
the 
ACA’s 
Medicaid 
expansion would strip health coverage 
away from those who cannot afford 
commercial insurance. .............................. 16 
D.  Invalidating the ACA will strain the 
Medicare 
budget 
and 
set 
back 
initiatives to enhance the quality of 
healthcare for older Americans. ............... 21 
II. 
ACCESS 
TO 
AFFORDABLE 
HEALTHCARE 
MADE 
POSSIBLE 
THROUGH THE ACA IS A CRUCIAL 
PUBLIC GOOD, ESPECIALLY DURING 
A GLOBAL PANDEMIC. ................................ 28 
ii 
 
III.  EVEN IF THE COURT WERE TO FIND 
THE 
INDIVIDUAL 
MANDATE 
UNCONSTITUTIONAL, 
IT 
IS 
SEVERABLE FROM THE ACA. .................... 33 
CONCLUSION ......................................................... 39 
 
 
iii 
",http://www.supremecourt.gov/DocketPDF/19/19-840/143392/20200513104313493_19-840%20%2019-1019%20tsac%20ACHP%20Et%20Al_.pdf,"CONCLUSION 
The Court should reverse the Fifth Circuit’s 
decision in its entirety.  But should the Court reach 
the issue of severability, it should hold that the 
individual mandate is severable from remainder of 
the ACA.  
 
Respectfully submitted,  
 
A. XAVIER BAKER 
  COUNSEL OF RECORD 
DANIEL W. WOLFF 
CHRISTOPHER FLYNN 
JEROME P. DESANTO 
CROWELL & MORING LLP 
1001 Pennsylvania Ave., NW 
Washington, DC  20004 
(202) 624-2842 
xbaker@crowell.com",,,,yq2340
scotus_filing_42873,"TABLE OF CONTENTS 
Table of Authorities .................................................... ii 
Interest of the Amici Curiae 
and Summary of Argument .................................. 1 
Argument ..................................................................... 4 
I. 
The ACA has advanced the public health 
in immeasurable ways ........................................ 4 
A. 
The ACA transformed the individual 
health insurance market ............................. 4 
B. 
The ACA implemented vital public 
health reforms ............................................. 8 
II. 
Striking down the ACA now would do 
lasting damage to the public health ................. 10 
A. 
The ACA is irreversibly entwined with 
the American healthcare system .............. 10 
B. 
Without the ACA, the government’s 
ability to respond to COVID-19 and 
other global pandemics would be 
hobbled ....................................................... 15 
III. Whether to retain a statute like the ACA, 
with far reaching consequences for public 
health policy, is an issue for the political 
branches ............................................................. 20 
Conclusion ................................................................. 22 
Appendix .................................................................... 1a 
 
 
 
 
 
 
 
 
ii 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-840/143385/20200513102459194_19-840.19-1019.amicus.pdf,"CONCLUSION 
The Court should hold that the individual man-
date, if unlawful, is severable. 
Respectfully submitted. 
 
H. GUY COLLI",,,,yq2340
scotus_filing_42877,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES .................................  
ii 
INTEREST OF AMICIUS CURIAE ....................  
1 
BACKGROUND ....................................................  
4 
SUMMARY OF ARGUMENT ..............................  
13 
ARGUMENT .........................................................  
16 
I. THE PROVISIONS OF THE ACA AU-
THORIZING PCORI ARE SEVERABLE 
FROM ANY UNCONSTITUTIONAL PRO-
VISIONS OF THE ACT ...............................  
17 
A. Under This Court’s Established Approach, 
Congress’s Intent That PCORI Continue 
To Operate Is Clear ...................................  
17 
B. None Of The General Or Specific Concerns 
About ACA Severability Applies To The 
ACA Provisions Authorizing PCORI .........  
20 
CONCLUSION .....................................................  
23 
 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-840/143388/20200513104041259_PCORI%20Amicus.pdf,"CONCLUSION 
The provisions of the ACA addressing PCORI are 
severable from any unconstitutional or invalid 
provision of that Act.  
 
 
 
 
    Respectfully submitted, 
 
MARY C. HENNESSEY 
VIRGINIA A. SEITZ* 
PATIENT-CENTERED  
PETER D. KEISLER 
  OUTCOMES RESEARCH  
SIDLEY AUSTIN LLP 
  INSTITUTE 
1501 K Street, N.W. 
1828 L Street, N.W. 
Washington, D.C. 20005 
Suite 900 
(202) 736-8000 
Washington, D.C. 20036 
vseitz@sidley.com 
(202) 827-7700 
 
Counsel for Amicus Curiae 
May 13, 2020 
 
     * Counsel of Record",,,,yq2340
scotus_filing_42888,"TABLE OF CONTENTS 
INTEREST OF AMICUS CURIAE ............................. 1
INTRODUCTION 
AND 
SUMMARY 
OF 
ARGUMENT ................................................................ 2
ARGUMENT .............................................................. 11
A. Wholesale Invalidation Of The ACA 
Would Result In Massive Disruption To 
Patients 
And 
Other 
Health 
Care 
Stakeholders ................................................... 11
1.
The ACA is sweeping in its scale and 
scope. ......................................................... 11
2.
Invalidation of the ACA would have 
serious consequences in disparate 
areas 
wholly 
untethered 
to 
the 
individual mandate.................................. 17
a)
Individual Market ............................ 18
b)
Group Plans ...................................... 21
c)
Medicaid ........................................... 23
d)
Medicare ........................................... 26
B. The 
ACA’s 
Preexisting-Condition 
Provisions Would Continue To Function 
Properly Without The Mandate
In 
Today’s Individual Market ............................. 29
CONCLUSION .......................................................... 34
ii 
",http://www.supremecourt.gov/DocketPDF/19/19-840/143391/20200513104715600_19-840-19-1019-AmericasHealthInsurancePlansAmicus.pdf,"CONCLUSION 
Over the course of a decade, the ACA has 
fundamentally reshaped the nation’s health care 
system.  Congress in 2017 chose not to disturb that 
paradigm shift—including the promise of affordable 
coverage for those with preexisting conditions—when 
defanging the individual mandate without repealing 
any other part of the ACA.   
Texas and the federal government would have 
this Court wield an axe in responding to Congress’s 
scalpel.  But invalidation of the ACA would flout",,,,yq2340
scotus_filing_42899,"TABLE OF CONTENTS
TABLE OF AUTHORITIES. . . . . . . . . . . . . . . . . . . . ii
INTEREST OF THE AMICI . . . . . . . . . . . . . . . . . . . 1
SUMMARY OF ARGUMENT . . . . . . . . . . . . . . . . . . 1
ARGUMENT . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3
I.
MEDICAID 
PROVIDES 
ESSENTIAL
HEALTH COVERAGE TO LOW-INCOME
PEOPLE. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3
II.
MEDICAID WAS AN INDEPENDENT
PROGRAM 
AT 
THE 
TIME 
OF
ENACTMENT, AND ITS FRAMEWORK
AND THE PROCESSES FOR AMENDING
IT HAVE REMAINED CONSISTENT OVER
TIME . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 10
III.
THE ACA MADE CHANGES TO THE
MEDICAID ACT THAT BUILD UPON THE
PROGRAM AS IT HAS EVOLVED SINCE
1965 
AND 
THAT 
ARE 
ENTIRELY
INDEPENDENT OF THE INDIVIDUAL
MANDATE. . . . . . . . . . . . . . . . . . . . . . . . . . . 17
CONCLUSION. . . . . . . . . . . . . . . . . . . . . . . . . . . . . 29
ii
",http://www.supremecourt.gov/DocketPDF/19/19-840/143462/20200513144457835_19-840%20-1019%20Amici%20BOM%20National%20Health%20Law%20Program.pdf,"CONCLUSION
No matter what it does with the ACA’s minimum-
coverage provision, the Court should preserve the
improvements the ACA has made to the Medicaid
program. 
Respectfully submitted,
Jane Perkins
   Counsel of Record
Sarah Somers
Catherine McKee
Abigail Coursolle
National Health Law Program
200 North Greensboro St.
Suite D-13
Carrboro, NC  27510
(919) 968-6308
perkins@healthlaw.org
Counsel for Amici Curiae
Dated:  May 2020",,,,yq2340
scotus_filing_42902,"TABLE OF CONTENTS 
Page 
STATEMENT OF INTERESTS OF AMICI  
CURIAE ...................................................................... 1 
 
SUMMARY OF ARGUMENT .................................... 3 
ARGUMENT ............................................................... 5 
I. 
The ACA Is A Stabilizing Force That  
Benefits Millions of Older Adults Who  
Could Not Access or Afford Health  
Care Without It.  ............................................... 5 
 
II. 
Invalidating The ACA Would Cause  
Millions Of Older Adults To Lose The  
Health Insurance And Consumer  
Protections They Have Relied On For  
Years. .............................................................. 11 
 
A. 
The ACA protects older adults  
against insurance discrimination  
based on age or health status. ............ 12 
 
B. 
The ACA increases older adults’  
access to health insurance in the 
individual market through the  
ACA marketplaces, tax credits,  
and subsidies ....................................... 17 
 
 
 
ii 
 
 
C. 
The ACA provides life-saving  
health coverage to low-income  
older adults by expanding  
eligibility for Medicaid. ....................... 22 
 
III. 
Invalidating The ACA Will Upend The 
Financial Stability Of The Medicare  
Program And Eliminate Many           
Protections for Medicare Beneficiaries ......... 25 
 
A. 
The ACA strengthens the long- 
term financial stability of the  
Medicare program. .............................. 27 
 
1. 
The ACA provides greater 
continuity of coverage,  
resulting in saving Medicare 
money because people are 
healthier by the time they  
enroll in the program. .............. 28 
 
2. 
The ACA improves value,  
quality, and efficiency in 
Medicare. .................................. 30 
 
B. 
The ACA includes critical coverage 
improvements for Medicare 
beneficiaries, enhancing access to  
care and affordability .......................... 32 
 
IV. 
Invalidating The ACA Will Harm Older  
Adults Who Want To Age In The  
Community. .................................................... 35 
 
iii 
 
 
V. 
Invalidating The ACA Would Put Older  
Adults At Greater Risk of Discrimination, 
Abuse, And Neglect And Make It Harder  
To Enforce Their Civil Rights. ...................... 37 
 
A. 
The ACA empowers older adults  
to challenge discrimination in  
health care. .......................................... 38 
 
B. 
The ACA provides quality and  
safety improvements for nursing  
facility residents and protects all  
older adults from abuse and  
neglect .................................................. 40 
 
CONCLUSION ......................................................... 42 
 
 
iv 
 
 
",http://www.supremecourt.gov/DocketPDF/19/19-840/143449/20200513141543127_19-840%2010-1019%20CA%20v%20TEXAS%20S%20CT%20AMICUS%20BRIEF%20AARP.pdf,"CONCLUSION 
 
The ACA is a landmark law that has 
transformed the lives of millions of Americans. Among 
its many benefits, the ACA increases access to health 
care for tens of millions of people, protects consumers 
against 
discrimination 
based 
on 
preexisting 
conditions and age, increases the financial stability of 
the Medicare program, and protects older adults from 
abuse and neglect. And, as the pandemic has shown, 
the law is a stabilizing force that helps steady the 
country in times of crisis. 
 
Ten years in, the ACA is woven into the fabric 
of our economy and our lives. A decision invalidating 
the law would be a nationwide catastrophe for the 
health and financial stability of all Americans, but 
especially for older adults. It would also be unjust, as 
the minimum coverage provision is constitutional.  
Even if the Court finds that the minimum coverage 
provision is unconstitutional, the rest of the ACA 
should stand. Many provisions, such as those providing 
cost-savings to Medicare beneficiaries, are wholly 
unrelated to the mandate. Most importantly, Congress 
did, in fact, leave the rest of the law standing, and the 
ACA continues to operate as Congress intended.   
 
Simply put, the ACA is benefitting millions of 
people, the health care system, and the national 
economy and should remain in force.",,,,yq2340
scotus_filing_42904,"TABLE OF CONTENTS 
Page 
Table of Authorities ........................................................... II
Interest of Amici Curiae ...................................................... 1
Introduction and Summary of Argument .......................... 3
Background ........................................................................... 6
Argument ............................................................................ 10
I.
This Third Attempt to Overturn the ACA 
Fares No Better Than the First Two ....................... 10
II. Judicial Repeal of the ACA Would Inflict 
Chaos and Suffering That Congress Could 
Not Have Intended ..................................................... 12
A. Invalidating the ACA Would Cause Nearly 
20 Million Americans to Lose Coverage ............ 12
B. The Effects Would Devastate Families and 
States, Particularly the Most Vulnerable ............. 15
C. The ACA’s Coverage Protections Are 
Especially Important During Public Health 
Crises ...................................................................... 19
III. Even for Those with Some Remaining 
Coverage, Judicial Repeal of the ACA Would 
Eliminate Reforms on Which Millions of 
Families Depend ......................................................... 25
A. Protections for Specific Services Ensure 
That Americans Can Access Essential Care ..... 25
B. Millions of Americans Depend on the ACA to 
Regulate Insurance Costs ................................... 27
C. Overturning the ACA’s Medicare Provisions 
Would Leave a Tangled, Expensive Mess ......... 30
Conclusion ........................................................................... 33
II 
",http://www.supremecourt.gov/DocketPDF/19/19-840/143451/20200513142138930_Nos.%2019-840.19-1019tsacFamiliesUSA.pdf,"CONCLUSION 
If the Court concludes that plaintiffs have standing 
and that the minimum-coverage provision is unconstitu-
tional, the Court should hold that it is severable from the 
rest of the ACA.
Respectfully submitted,
ALL",,,,yq2340
scotus_filing_42922,"TABLE OF CONTENTS 
 
 
Page 
TABLE OF AUTHORITIES ....................................... iv 
 
INTEREST OF AMICUS CURIAE ............................. 1 
 
SUMMARY OF ARGUMENT  .................................... 1 
 
ARGUMENT  ............................................................... 2 
 
I. 
ANTI-COMMANDEERING DOCTRINE 
IS BASED UPON A CHERISHED 
CONCEPT 
OF 
“DUAL 
SOVEREIGNTY”  ................................................ 2 
 
II. 
THE ACA VIOLATES THE TENTH 
AMENDMENT BY INVADING THE 
POWERS OF THE STATES ............................... 6 
 
A. 
Creation 
of 
Health 
Benefit 
Exchanges Exceeds the Bounds of 
“Cooperative 
Federalism” 
and 
Violates the Tenth Amendment. .... ............ 6 
 
1. 
Forcing the creation of the 
SBEs 
 
Violates 
Anti-
Commandeering Doctrine ................. 10 
 
2. 
Federally Funded Exchanges  
Usurp State Authority Over 
ii 
 
Intrastate 
Insurance 
Regulation .......................................... 13 
 
B. 
Section 1332 Waiver Does Not 
Cure the Unconstitutionality of the 
Tenth Amendment..................................... 15 
 
C. 
Creation of Exchanges Diminishes 
Accountability ............................................ 16 
 
D. 
Qualified Health Plans Violate the 
Tenth 
Amendment 
by 
Substantially Invading Traditional 
States’ 
Authority 
to 
Regulate 
Health Care ............................................... 19 
 
E. 
Penalties on Intrastate Insurers 
under 
ACA 
Diminish 
Accountability ............................................ 20 
 
III. THE SUPREMACY CLAUSE DOES 
NOT APPLY TO LAWS OF THE 
UNITED STATES WHICH ARE NOT 
MADE 
PURSUANT 
TO 
THE 
CONSTITUTION ............................................... 21 
 
IV. IF THE AFFORDABLE CARE ACT IS 
A 
TAX, 
IT 
VIOLATES 
THE 
ORIGINATION CLAUSE OF ARTICLE 
I SECTION 7 AND IS VOID AB INITIO 
BECAUSE IT ORIGINATED IN THE 
SENATE 
RATHER 
THAN 
THE 
HOUSE .............................................................. 22 
iii 
 
 
A. 
The Practice in England ............................ 24 
 
B. 
The Concerns of the American 
Colonists .................................................... 24 
 
C. 
The Decisions of the Constitutional 
Convention of 1787 .................................... 26 
 
D. 
The Effect of the Seventeenth 
Amendment ............................................... 28 
 
E. 
The Courts’ Interpretation of the 
Origination Clause ...................................  28 
 
F. 
The Use of a “Shell Bill” ............................ 30 
 
CONCLUSION .......................................................... 34 
 
 
iv 
 
",http://www.supremecourt.gov/DocketPDF/19/19-840/146374/20200625162030466_California%20v%20Texas%20PDF-A.pdf,"CONCLUSION 
In United States v. Darby, 312 U.S. 100, 124 
(1941), this Court said the Tenth Amendment ""states 
but a truism that all is retained which has not been 
surrendered."" 
 True, the Tenth Amendment 
merely sets in concrete what the Founders always 
assumed was correct.  But as Thomas Jefferson 
wrote, 
                                            
37Norton v. Shelby County, 118 U.S. 425, 442 (1886): “a[n] 
unconstitutional act is not a law; ...it is, in legal contemplation, 
as inoperative as though it had never been passed.”",,,,yq2340
scotus_filing_42926,"TABLE OF CONTENTS 
Page 
TABLE OF AUTHORITIES ..................................... iii 
 
INTEREST OF AMICUS ............................................ 1 
 
SUMMARY OF THE ARGUMENT ............................ 2 
 
ARGUMENT ...............................................................3  
 
I. The Individual Mandate No Longer Functions 
As a Tax and Cannot Be Sustained 
As a Constitutional Exercise of Congress’s 
Power to Tax .......................................................... 3 
 
II. The Individual Mandate Cannot Be Severed 
From the Guaranteed Issue and Community    
 
Rating Provisions.. .................................................6 
 
CONCLUSION .......................................................... 12 
 
 
 
ii 
 
",http://www.supremecourt.gov/DocketPDF/19/19-840/146827/20200702111553329_19-840%20and%2019-1019%20ACLJ%20amicus%20brief.pdf,"CONCLUSION 
 
Amicus respectfully requests that this Court 
affirm in part and reverse in part the judgment of the 
Fifth Circuit.  
 
  
 
Respectfully submitted,",,,,yq2340
scotus_filing_42939,"TABLE OF CONTENTS 
Page 
  
INTRODUCTION ........................................................ 1 
ARGUMENT ................................................................ 4 
I. 
SECTION 5000A CONTINUES TO OFFER  
A LAWFUL CHOICE BETWEEN 
ALTERNATIVES ................................................. 4 
II. 
RESPONDENTS LACK STANDING .................. 6 
A. 
The individual plaintiffs lack standing .......... 7 
B. 
State plaintiffs lack standing ....................... 11 
III. SECTION 5000A IS CONSTITUTIONAL ........ 14 
IV. IF SECTION 5000A IS UNCONSTITUTIONAL, 
IT MUST BE SEVERED FROM THE 
REMAINDER OF THE ACT ............................. 16 
CONCLUSION .......................................................... 24 
 
ii 
 
  
",http://www.supremecourt.gov/DocketPDF/19/19-840/148931/20200729105222046_19-840%20rb%20House%20of%20Representatives.pdf,"CONCLUSION 
The judgment of the court of appeals should be re-
versed. 
Respectfully submitted, 
 
Donal",,,,yq2340
